tau_e-3	tau_e-4	tau_e-5	nb_kernel	alpha	layer_nb	fmap	nb_channel	FLOPS_tau_e-3	FLOPS_tau_e-4	FLOPS_tau_e-5	total_flops_tau_e-3	total_flops_tau_e-4	total_flops_tau_e-5
2.938	3	3	16	-4	1	32	3	424272.396288	442368	442368	38481838.669824	36659200	39264256
3	3	3	16	-4	2	32	16	2359296	2359296	2359296			
3	3	3	16	-4	3	32	16	2359296	2359296	2359296			
3	3	3	16	-4	4	32	16	2359296	2359296	2359296			
3	3	3	16	-4	5	32	16	2359296	2359296	2359296			
3	3	3	16	-4	6	32	16	2359296	2359296	2359296			
3	3	3	16	-4	7	32	16	2359296	2359296	2359296			
3	3	3	32	-4	8	16	16	589824	589824	589824			
3	3	3	32	-4	9	16	32	2359296	2359296	2359296			
3	3	3	32	-4	10	16	32	2359296	2359296	2359296			
3	3	3	32	-4	11	16	32	2359296	2359296	2359296			
3	3	3	32	-4	12	16	32	2359296	2359296	2359296			
3	3	3	32	-4	13	16	32	2359296	2359296	2359296			
3	3	3	64	-4	14	8	32	589824	589824	589824			
3	3	3	64	-4	15	8	64	2359296	2359296	2359296			
3	3	3	64	-4	16	8	64	2359296	2359296	2359296			
3	3	3	64	-4	17	8	64	2359296	442368	2359296			
3	3	3	64	-4	18	8	64	2359296	2359296	2359296			
2.313	2.375	2.875	64	-4	19	8	64	1402462.273536	1478656	2166784			
2.688	2.813	2.813	16	-3.8	1	32	3	355140.108288	388938.252288	388938.252288	38330744.34048	38397224.46848	38507677.270016
3	3	3	16	-3.8	2	32	32	4718592	4718592	4718592			
3	3	3	16	-3.8	3	32	32	4718592	4718592	4718592			
3	3	3	16	-3.8	4	32	32	4718592	4718592	4718592			
3	3	3	16	-3.8	5	32	32	4718592	4718592	4718592			
2.813	2.813	2.813	16	-3.8	6	32	32	4148674.691072	4148674.691072	4148674.691072			
3	3	3	16	-3.8	7	32	32	4718592	4718592	4718592			
3	3	3	32	-3.8	8	16	32	2359296	2359296	2359296			
3	3	3	32	-3.8	9	16	16	1179648	1179648	1179648			
3	3	3	32	-3.8	10	16	16	1179648	1179648	1179648			
3	3	3	32	-3.8	11	16	16	1179648	1179648	1179648			
3	3	3	32	-3.8	12	16	16	1179648	1179648	1179648			
3	3	3	32	-3.8	13	16	16	1179648	1179648	1179648			
3	3	3	64	-3.8	14	8	16	589824	589824	589824			
3	3	3	64	-3.8	15	8	8	294912	294912	294912			
3	3	3	64	-3.8	16	8	8	294912	294912	294912			
2.953	3	3	64	-3.8	17	8	8	285743.808512	294912	294912			
2.859	2.859	2.859	64	-3.8	18	8	8	267841.732608	267841.732608	267841.732608			
2	2.172	2.844	64	-3.8	19	8	8	131072	154585.792512	265038.594048			
2.625	2.625	2.625	16	-3.6	1	32	3	338688	338688	338688	34423744.02048	34689701.003264	34664451.719168
3	3	3	16	-3.6	2	32	32	4718592	4718592	4718592			
3	3	3	16	-3.6	3	32	32	4718592	4718592	4718592			
2.438	2.438	2.438	16	-3.6	4	32	32	3116286.083072	3116286.083072	3116286.083072			
3	3	3	16	-3.6	5	32	32	4718592	4718592	4718592			
2.438	2.438	2.438	16	-3.6	6	32	32	3116286.083072	3116286.083072	3116286.083072			
3	3	3	16	-3.6	7	32	32	4718592	4718592	4718592			
2.25	2.25	2.25	32	-3.6	8	16	32	1327104	1327104	1327104			
3	3	3	32	-3.6	9	16	16	1179648	1179648	1179648			
3	3	3	32	-3.6	10	16	16	1179648	1179648	1179648			
3	3	3	32	-3.6	11	16	16	1179648	1179648	1179648			
3	3	3	32	-3.6	12	16	16	1179648	1179648	1179648			
2.969	3	3	32	-3.6	13	16	16	1155394.568192	1179648	1179648			
3	3	3	64	-3.6	14	8	16	589824	589824	589824			
2.984	3	3	64	-3.6	15	8	8	291774.660608	294912	294912			
3	3	3	64	-3.6	16	8	8	294912	294912	294912			
2.953	3	3	64	-3.6	17	8	8	285743.808512	442368	294912			
1.922	1.922	1.922	64	-3.6	18	8	8	121047.744512	121047.744512	121047.744512			
1.578	2.234	2.953	64	-3.6	19	8	8	81595.072512	163537.092608	285743.808512			
2.063	2.063	2.063	16	-3.4	1	32	3	209189.388288	209189.388288	209189.388288	33194706.8823962	33835009.7897882	33793840.8937882
3	3	3	16	-3.4	2	32	32	4718592	4718592	4718592			
3	3	3	16	-3.4	3	32	32	4718592	4718592	4718592			
2.813	2.813	2.813	16	-3.4	4	32	32	4148674.691072	4148674.691072	4148674.691072			
3	3	3	16	-3.4	5	32	32	4718592	4718592	4718592			
2.625	2.625	2.625	16	-3.4	6	32	32	3612672	3612672	3612672			
3	3	3	16	-3.4	7	32	32	4718592	4718592	4718592			
1.219	1.219	1.281	32	-3.4	8	16	32	389535.760384	389535.760384	430168.080384			
2.75	3	3	32	-3.4	9	16	16	991232	1179648	1179648			
2.906	2.906	2.906	32	-3.4	10	16	16	1106881.544192	1106881.544192	1106881.544192			
3	3	3	32	-3.4	11	16	16	1179648	1179648	1179648			
0.4688	0.4688	0.4688	32	-3.4	12	16	16	28806.14432768	28806.14432768	28806.14432768			
2.75	3	3	32	-3.4	13	16	16	991232	1179648	1179648			
2.906	2.906	2.906	64	-3.4	14	8	16	553440.772096	553440.772096	553440.772096			
3	3	3	64	-3.4	15	8	8	294912	294912	294912			
3	3	3	64	-3.4	16	8	8	294912	294912	294912			
2.859	3	3	64	-3.4	17	8	8	267841.732608	442368	294912			
0.8906	0.8906	0.8906	64	-3.4	18	8	8	25990.54082048	25990.54082048	25990.54082048			
1.859	2.484	2.859	64	-3.4	19	8	8	113242.308608	202186.948608	267841.732608			
1.5	1.5	1.5	16	-3.2	1	32	3	110592	110592	110592	24859896.481792	25599704.336384	26102528.453591
2.438	2.438	2.625	16	-3.2	2	32	32	3116286.083072	3116286.083072	3612672			
3	3	3	16	-3.2	3	32	32	4718592	4718592	4718592			
2.063	2.063	2.063	16	-3.2	4	32	32	2231353.475072	2231353.475072	2231353.475072			
3	3	3	16	-3.2	5	32	32	4718592	4718592	4718592			
0.75	0.75	0.75	16	-3.2	6	32	32	294912	294912	294912			
2.938	3	3	16	-3.2	7	32	32	4525572.227072	4718592	4718592			
0.375	0.375	0.4688	32	-3.2	8	16	32	36864	36864	57612.28865536			
2.344	2.344	2.344	32	-3.2	9	16	16	720153.608192	720153.608192	720153.608192			
2.75	3	3	32	-3.2	10	16	16	991232	1179648	1179648			
3	3	3	32	-3.2	11	16	16	1179648	1179648	1179648			
0.75	0.75	0.8438	32	-3.2	12	16	16	73728	73728	93323.05952768			
2.906	3	3	32	-3.2	13	16	16	1106881.544192	1179648	1179648			
1.078	1.078	1.078	64	-3.2	14	8	16	76158.337024	76158.337024	76158.337024			
2.844	3	3	64	-3.2	15	8	8	265038.594048	294912	294912			
2.953	2.953	2.953	64	-3.2	16	8	8	285743.808512	285743.808512	285743.808512			
2.734	3	3	64	-3.2	17	8	8	244932.804608	442368	294912			
0.09375	0.09375	0.09375	64	-3.2	18	8	8	288	288	288			
1.25	1.828	2.609	64	-3.2	19	8	8	51200	109497.024512	223047.876608			
1.688	1.688	2.063	16	-3	1	32	3	140050.956288	140050.956288	209189.388288	19312368.458793	22932193.057833	23485403.2246178
1.313	1.313	1.688	16	-3	2	32	32	903856.259072	903856.259072	1493876.867072			
2.875	3	3	16	-3	3	32	32	4333568	4718592	4718592			
0.9375	0.9375	0.9375	16	-3	4	32	32	460800	460800	460800			
2.125	3	3	16	-3	5	32	32	2367488	4718592	4718592			
2.625	2.625	2.625	16	-3	6	32	32	3612672	3612672	3612672			
3	3	3	16	-3	7	32	32	4718592	4718592	4718592			
0.1875	0.1875	0.375	32	-3	8	16	32	9216	9216	36864			
2.313	2.938	3	32	-3	9	16	16	701231.136768	1131393.056768	1179648			
1.688	1.688	1.688	32	-3	10	16	16	373469.216768	373469.216768	373469.216768			
2.938	3	3	32	-3	11	16	16	1131393.056768	1179648	1179648			
0	0	0.09375	32	-3	12	16	16	0	0	1152			
0	0	0	32	-3	13	16	16	0	0	0			
0.3281	0.3281	0.3281	64	-3	14	8	16	7054.92484096	7054.92484096	7054.92484096			
2.438	2.906	2.906	64	-3	15	8	8	194767.880192	276720.386048	276720.386048			
1.969	1.969	1.969	64	-3	16	8	8	127040.258048	127040.258048	127040.258048			
1.906	2.688	2.813	64	-3	17	8	8	119040.770048	442368	259292.168192			
0	0	0	64	-3	18	8	8	0	0	0			
0	0	0.04688	64	-3	19	8	8	0	0	72.0153608192			
