top1	top5	alpha	type	zeroing	FLOPS
0.0197	0.06576	0.1	residual	0	696392704
0.0885	0.22352	0.01	residual	0	696392704
0.39242	0.64314	0.001	residual	0	696392704
0.38666	0.63752	0.0001	residual	0	696392704
0.36658	0.61242	0	residual	0	696392704
0.0187	0.06382	0.1	residual	0.00001	271642476
0.08806	0.2218	0.01	residual	0.00001	97738144
0.39588	0.64346	0.001	residual	0.00001	489582520
0.38748	0.63558	0.0001	residual	0.00001	685441792
0.36652	0.61208	0	residual	0.00001	696392704
0.0194	0.06494	0.1	residual	0.0001	116540032
0.08856	0.2236	0.01	residual	0.0001	96397504
0.39386	0.64554	0.001	residual	0.0001	486693088
0.3854	0.63664	0.0001	residual	0.0001	685441792
0.3659	0.61236	0	residual	0.0001	696392704
0.01946	0.06572	0.1	residual	0.001	112624736
0.08814	0.22392	0.01	residual	0.001	95677792
0.39386	0.64468	0.001	residual	0.001	478120048
0.38576	0.63398	0.0001	residual	0.001	685441792
0.36446	0.61228	0	residual	0.001	696392704
