Layer_num	sz	alpha	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0
1	2	0	0	0	0	0	0
1	3	0	0	0	0	0	0
1	4	0	0	0	0	0	0
1	5	0	0	0	0	0	0
1	6	0	0	0	0	0	0
1	7	0	64	64	64	64	64
2	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0
2	2	0	0	0	0	0	0
2	3	0	0	0	0	0	0
2	4	0	0	0	0	0	0
2	5	0	0	0	0	0	0
2	6	0	0	0	0	0	0
2	7	0	64	64	64	64	64
3	0	0	0	0	0	0	0
3	1	0	0	0	0	0	0
3	2	0	0	0	0	0	0
3	3	0	0	0	0	0	0
3	4	0	0	0	0	0	0
3	5	0	0	0	0	0	0
3	6	0	0	0	0	0	0
3	7	0	64	64	64	64	64
4	0	0	0	0	0	0	0
4	1	0	0	0	0	0	0
4	2	0	0	0	0	0	0
4	3	0	0	0	0	0	0
4	4	0	0	0	0	0	0
4	5	0	0	0	0	0	0
4	6	0	0	0	0	0	0
4	7	0	128	128	128	128	128
5	0	0	0	0	0	0	0
5	1	0	0	0	0	0	0
5	2	0	0	0	0	0	0
5	3	0	0	0	0	0	0
5	4	0	0	0	0	0	0
5	5	0	0	0	0	0	0
5	6	0	0	0	0	0	0
5	7	0	128	128	128	128	128
6	0	0	0	0	0	0	0
6	1	0	0	0	0	0	0
6	2	0	0	0	0	0	0
6	3	0	0	0	0	0	0
6	4	0	0	0	0	0	0
6	5	0	0	0	0	0	0
6	6	0	0	0	0	0	0
6	7	0	256	256	256	256	256
7	0	0	0	0	0	0	0
7	1	0	0	0	0	0	0
7	2	0	0	0	0	0	0
7	3	0	0	0	0	0	0
7	4	0	0	0	0	0	0
7	5	0	0	0	0	0	0
7	6	0	0	0	0	0	0
7	7	0	256	256	256	256	256
1	0	0.1	64	54	24	22	0
1	1	0.1	0	7	6	0	0
1	2	0.1	0	1	4	0	0
1	3	0.1	0	1	1	0	0
1	4	0.1	0	0	4	0	0
1	5	0.1	0	1	2	0	0
1	6	0.1	0	0	10	0	0
1	7	0.1	0	0	13	42	64
2	0	0.1	64	64	64	64	0
2	1	0.1	0	0	0	0	0
2	2	0.1	0	0	0	0	0
2	3	0.1	0	0	0	0	0
2	4	0.1	0	0	0	0	0
2	5	0.1	0	0	0	0	0
2	6	0.1	0	0	0	0	0
2	7	0.1	0	0	0	0	64
3	0	0.1	64	64	64	64	0
3	1	0.1	0	0	0	0	0
3	2	0.1	0	0	0	0	0
3	3	0.1	0	0	0	0	0
3	4	0.1	0	0	0	0	0
3	5	0.1	0	0	0	0	0
3	6	0.1	0	0	0	0	0
3	7	0.1	0	0	0	0	64
4	0	0.1	128	128	127	127	0
4	1	0.1	0	0	0	0	0
4	2	0.1	0	0	0	0	0
4	3	0.1	0	0	0	0	0
4	4	0.1	0	0	0	0	0
4	5	0.1	0	0	0	0	0
4	6	0.1	0	0	0	0	1
4	7	0.1	0	0	1	1	127
5	0	0.1	128	128	122	106	2
5	1	0.1	0	0	0	1	0
5	2	0.1	0	0	1	3	0
5	3	0.1	0	0	1	3	0
5	4	0.1	0	0	1	0	0
5	5	0.1	0	0	3	1	3
5	6	0.1	0	0	0	2	1
5	7	0.1	0	0	0	12	122
6	0	0.1	256	256	256	256	0
6	1	0.1	0	0	0	0	0
6	2	0.1	0	0	0	0	0
6	3	0.1	0	0	0	0	0
6	4	0.1	0	0	0	0	0
6	5	0.1	0	0	0	0	0
6	6	0.1	0	0	0	0	1
6	7	0.1	0	0	0	0	255
7	0	0.1	256	256	256	198	12
7	1	0.1	0	0	0	0	0
7	2	0.1	0	0	0	0	0
7	3	0.1	0	0	0	0	0
7	4	0.1	0	0	0	0	0
7	5	0.1	0	0	0	0	0
7	6	0.1	0	0	0	0	0
7	7	0.1	0	0	0	58	244
