iter	nb_kernel	alpha	layer
100	64	0	1
1000	64	0	1
2000	64	0	1
3000	64	0	1
4000	64	0	1
5000	64	0	1
6000	64	0	1
7000	64	0	1
8000	64	0	1
9000	64	0	1
10000	64	0	1
11000	64	0	1
12000	64	0	1
13000	64	0	1
14000	64	0	1
15000	64	0	1
16000	64	0	1
17000	64	0	1
18000	64	0	1
19000	64	0	1
20000	64	0	1
21000	64	0	1
22000	64	0	1
23000	64	0	1
24000	64	0	1
25000	64	0	1
26000	64	0	1
27000	64	0	1
28000	64	0	1
29000	64	0	1
30000	64	0	1
31000	64	0	1
32000	64	0	1
33000	64	0	1
34000	64	0	1
35000	64	0	1
36000	64	0	1
37000	64	0	1
38000	64	0	1
39000	64	0	1
40000	64	0	1
41000	64	0	1
42000	64	0	1
43000	64	0	1
44000	64	0	1
45000	64	0	1
46000	64	0	1
47000	64	0	1
48000	64	0	1
49000	64	0	1
50000	64	0	1
100	64	0.0001	1
1000	64	0.0001	1
2000	64	0.0001	1
3000	64	0.0001	1
4000	64	0.0001	1
5000	64	0.0001	1
6000	64	0.0001	1
7000	64	0.0001	1
8000	64	0.0001	1
9000	64	0.0001	1
10000	64	0.0001	1
11000	64	0.0001	1
12000	64	0.0001	1
13000	64	0.0001	1
14000	63	0.0001	1
15000	63	0.0001	1
16000	63	0.0001	1
17000	63	0.0001	1
18000	63	0.0001	1
19000	62	0.0001	1
20000	61	0.0001	1
21000	61	0.0001	1
22000	61	0.0001	1
23000	61	0.0001	1
24000	61	0.0001	1
25000	61	0.0001	1
26000	61	0.0001	1
27000	61	0.0001	1
28000	61	0.0001	1
29000	61	0.0001	1
30000	61	0.0001	1
31000	61	0.0001	1
32000	61	0.0001	1
33000	61	0.0001	1
34000	61	0.0001	1
35000	61	0.0001	1
36000	61	0.0001	1
37000	61	0.0001	1
38000	61	0.0001	1
39000	61	0.0001	1
40000	61	0.0001	1
41000	61	0.0001	1
42000	61	0.0001	1
43000	61	0.0001	1
44000	61	0.0001	1
45000	61	0.0001	1
46000	61	0.0001	1
47000	61	0.0001	1
48000	61	0.0001	1
49000	61	0.0001	1
50000	61	0.0001	1
100	64	0.001	1
1000	64	0.001	1
2000	64	0.001	1
3000	64	0.001	1
4000	63	0.001	1
5000	58	0.001	1
6000	50	0.001	1
7000	45	0.001	1
8000	41	0.001	1
9000	39	0.001	1
10000	39	0.001	1
11000	39	0.001	1
12000	37	0.001	1
13000	38	0.001	1
14000	38	0.001	1
15000	38	0.001	1
16000	34	0.001	1
17000	34	0.001	1
18000	34	0.001	1
19000	34	0.001	1
20000	34	0.001	1
21000	34	0.001	1
22000	34	0.001	1
23000	34	0.001	1
24000	34	0.001	1
25000	32	0.001	1
26000	32	0.001	1
27000	32	0.001	1
28000	31	0.001	1
29000	31	0.001	1
30000	31	0.001	1
31000	31	0.001	1
32000	31	0.001	1
33000	31	0.001	1
34000	31	0.001	1
35000	31	0.001	1
36000	31	0.001	1
37000	31	0.001	1
38000	31	0.001	1
39000	31	0.001	1
40000	31	0.001	1
41000	31	0.001	1
42000	31	0.001	1
43000	31	0.001	1
44000	31	0.001	1
45000	31	0.001	1
46000	31	0.001	1
47000	31	0.001	1
48000	31	0.001	1
49000	31	0.001	1
50000	31	0.001	1
100	64	0.1	1
1000	64	0.1	1
2000	64	0.1	1
3000	64	0.1	1
4000	64	0.1	1
5000	64	0.1	1
6000	64	0.1	1
7000	64	0.1	1
8000	64	0.1	1
9000	64	0.1	1
10000	64	0.1	1
11000	64	0.1	1
12000	64	0.1	1
13000	64	0.1	1
14000	64	0.1	1
15000	64	0.1	1
16000	64	0.1	1
17000	64	0.1	1
18000	64	0.1	1
19000	64	0.1	1
20000	64	0.1	1
21000	64	0.1	1
22000	64	0.1	1
23000	64	0.1	1
24000	64	0.1	1
25000	64	0.1	1
26000	64	0.1	1
27000	64	0.1	1
28000	64	0.1	1
29000	64	0.1	1
30000	64	0.1	1
31000	64	0.1	1
32000	64	0.1	1
33000	64	0.1	1
34000	63	0.1	1
35000	63	0.1	1
36000	63	0.1	1
37000	63	0.1	1
38000	63	0.1	1
39000	63	0.1	1
40000	63	0.1	1
41000	63	0.1	1
42000	63	0.1	1
43000	63	0.1	1
44000	63	0.1	1
45000	63	0.1	1
46000	63	0.1	1
47000	63	0.1	1
48000	63	0.1	1
49000	63	0.1	1
50000	63	0.1	1
100	64	0.01	1
1000	64	0.01	1
2000	64	0.01	1
3000	63	0.01	1
4000	63	0.01	1
5000	62	0.01	1
6000	61	0.01	1
7000	61	0.01	1
8000	61	0.01	1
9000	61	0.01	1
10000	61	0.01	1
11000	61	0.01	1
12000	61	0.01	1
13000	61	0.01	1
14000	60	0.01	1
15000	60	0.01	1
16000	60	0.01	1
17000	60	0.01	1
18000	60	0.01	1
19000	60	0.01	1
20000	60	0.01	1
21000	60	0.01	1
22000	60	0.01	1
23000	60	0.01	1
24000	59	0.01	1
25000	59	0.01	1
26000	59	0.01	1
27000	59	0.01	1
28000	59	0.01	1
29000	59	0.01	1
30000	59	0.01	1
31000	59	0.01	1
32000	57	0.01	1
33000	57	0.01	1
34000	57	0.01	1
35000	56	0.01	1
36000	56	0.01	1
37000	56	0.01	1
38000	55	0.01	1
39000	55	0.01	1
40000	55	0.01	1
41000	55	0.01	1
42000	55	0.01	1
43000	55	0.01	1
44000	55	0.01	1
45000	55	0.01	1
46000	53	0.01	1
47000	51	0.01	1
48000	51	0.01	1
49000	50	0.01	1
50000	50	0.01	1
100	256	0.0001	6
1000	256	0.0001	6
2000	256	0.0001	6
3000	256	0.0001	6
4000	256	0.0001	6
5000	256	0.0001	6
6000	256	0.0001	6
7000	256	0.0001	6
8000	256	0.0001	6
9000	256	0.0001	6
10000	256	0.0001	6
11000	256	0.0001	6
12000	256	0.0001	6
13000	256	0.0001	6
14000	256	0.0001	6
15000	256	0.0001	6
16000	256	0.0001	6
17000	256	0.0001	6
18000	256	0.0001	6
19000	256	0.0001	6
20000	256	0.0001	6
21000	256	0.0001	6
22000	256	0.0001	6
23000	256	0.0001	6
24000	256	0.0001	6
25000	256	0.0001	6
26000	256	0.0001	6
27000	256	0.0001	6
28000	256	0.0001	6
29000	256	0.0001	6
30000	256	0.0001	6
31000	256	0.0001	6
32000	256	0.0001	6
33000	256	0.0001	6
34000	256	0.0001	6
35000	256	0.0001	6
36000	256	0.0001	6
37000	256	0.0001	6
38000	256	0.0001	6
39000	256	0.0001	6
40000	256	0.0001	6
41000	256	0.0001	6
42000	256	0.0001	6
43000	256	0.0001	6
44000	256	0.0001	6
45000	256	0.0001	6
46000	256	0.0001	6
47000	256	0.0001	6
48000	256	0.0001	6
49000	256	0.0001	6
50000	256	0.0001	6
100	256	0.001	6
1000	256	0.001	6
2000	256	0.001	6
3000	256	0.001	6
4000	256	0.001	6
5000	256	0.001	6
6000	256	0.001	6
7000	256	0.001	6
8000	255	0.001	6
9000	246	0.001	6
10000	244	0.001	6
11000	243	0.001	6
12000	242	0.001	6
13000	241	0.001	6
14000	241	0.001	6
15000	236	0.001	6
16000	235	0.001	6
17000	235	0.001	6
18000	235	0.001	6
19000	234	0.001	6
20000	234	0.001	6
21000	234	0.001	6
22000	234	0.001	6
23000	234	0.001	6
24000	234	0.001	6
25000	234	0.001	6
26000	234	0.001	6
27000	234	0.001	6
28000	234	0.001	6
29000	234	0.001	6
30000	234	0.001	6
31000	234	0.001	6
32000	234	0.001	6
33000	234	0.001	6
34000	234	0.001	6
35000	234	0.001	6
36000	234	0.001	6
37000	234	0.001	6
38000	234	0.001	6
39000	234	0.001	6
40000	234	0.001	6
41000	234	0.001	6
42000	234	0.001	6
43000	234	0.001	6
44000	234	0.001	6
45000	234	0.001	6
46000	234	0.001	6
47000	234	0.001	6
48000	234	0.001	6
49000	234	0.001	6
50000	234	0.001	6
100	256	0.1	6
1000	256	0.1	6
2000	256	0.1	6
3000	256	0.1	6
4000	256	0.1	6
5000	256	0.1	6
6000	256	0.1	6
