1p_app_spars	5p_app_spars	Layer_num	alpha	tau_e-5	tau_e-4	tau_e-3
64	64	1	0	64	64	64
64	64	2	0	64	64	64
64	64	3	0	64	64	64
128	128	4	0	128	128	128
128	128	5	0	128	128	128
256	256	6	0	256	256	256
256	256	7	0	256	256	256
61	56	1	0.0001	61	61	61
64	64	2	0.0001	64	64	64
64	64	3	0.0001	64	64	64
128	128	4	0.0001	128	128	128
128	128	5	0.0001	128	128	128
256	256	6	0.0001	256	256	256
256	256	7	0.0001	256	256	256
31	29	1	0.001	31	31	31
49	49	2	0.001	49	49	49
64	64	3	0.001	64	64	64
105	105	4	0.001	105	105	105
119	113	5	0.001	128	128	122
234	234	6	0.001	234	234	234
244	240	7	0.001	256	249	245
50	33	1	0.01	50	50	50
1	1	2	0.01	1	1	1
16	9	3	0.01	14	6	2
2	2	4	0.01	2	2	2
27	17	5	0.01	34	25	14
16	16	6	0.01	16	16	16
50	49	7	0.01	74	52	49
63	63	1	0.1	64	63	61
62	60	2	0.1	28	0	0
64	62	3	0.1	25	0	0
127	122	4	0.1	65	0	0
125	120	5	0.1	60	0	0
127	24	6	0.1	129	16	8
162	18	7	0.1	134	13	10

