top1	top5	alpha	zeroing	FLOPS
0.88	0.9952	1.00E-003	0.01	3.28E+007
0.88	0.9952	1.00E-003	0.001	3.39E+007
0.8802	0.9952	1.00E-003	0.0001	3.46E+007
0.8802	0.9952	1.00E-003	0.00001	3.46E+007
0.7981	0.9827	3.16E-004	0.1	3.24E+007
0.8947	0.9963	3.16E-004	0.01	3.66E+007
0.8948	0.9963	3.16E-004	0.001	3.75E+007
0.8948	0.9963	3.16E-004	0.0001	3.75E+007
0.895	0.9963	3.16E-004	0.00001	3.75E+007
0.8011	0.9807	1.00E-004	0.1	3.71E+007
0.8955	0.9967	1.00E-004	0.01	3.88E+007
0.8954	0.9967	1.00E-004	0.001	3.89E+007
0.8954	0.9967	1.00E-004	0.0001	3.89E+007
0.8955	0.9967	1.00E-004	0.00001	3.89E+007
0.8982	0.9964	3.16E-005	0.1	3.97E+007
0.8977	0.9963	3.16E-005	0.01	4.00E+007
0.8977	0.9963	3.16E-005	0.001	4.00E+007
0.8977	0.9963	3.16E-005	0.0001	4.00E+007
0.8977	0.9963	3.16E-005	0.00001	4.01E+007
0.8946	0.9958	1.00E-005	0.1	4.01E+007
0.8944	0.9959	1.00E-005	0.01	4.03E+007
0.8944	0.9959	1.00E-005	0.001	4.03E+007
0.8944	0.9959	1.00E-005	0.0001	4.03E+007
0.8944	0.9959	1.00E-005	0.00001	4.03E+007
0.8933	0.9957	1.00E-006	0.1	4.01E+007
0.8995	0.9964	1.00E-006	0.01	4.02E+007
0.8986	0.9963	1.00E-006	0.001	4.03E+007
0.8986	0.9963	1.00E-006	0.0001	4.03E+007
0.8986	0.9963	1.00E-006	0.00001	4.03E+007
0.8945	0.9966	3.16E-007	0.1	4.02E+007
0.8962	0.9964	3.16E-007	0.01	4.04E+007
0.8962	0.9964	3.16E-007	0.001	4.04E+007
0.8962	0.9964	3.16E-007	0.0001	4.04E+007
0.8962	0.9964	3.16E-007	0.00001	4.05E+007
0.8995	0.9965	1.00E-007	0.1	4.04E+007
0.8995	0.9965	1.00E-007	0.01	4.06E+007
0.8995	0.9965	1.00E-007	0.001	4.06E+007
0.8995	0.9965	1.00E-007	0.0001	4.06E+007
0.8995	0.9965	1.00E-007	0.00001	4.06E+007
