top1	top5	alpha	zeroing	P_FLOPS	FLOPS
0.832	0.9939	0.001	0.1	2.41E+009	6.49E+007
0.8521	0.9939	0.001	0.01	1.05E+010	1.89E+008
0.8519	0.9939	0.001	0.001	1.64E+010	2.40E+008
0.8521	0.9939	0.001	0.0001	2.25E+010	2.73E+008
0.8521	0.9939	0.001	0.00001	3.37E+010	4.17E+008
0.8797	0.9958	0.0006309573	0.1	4.13E+009	9.05E+007
0.895	0.9974	0.0006309573	0.01	2.10E+010	2.78E+008
0.8946	0.9973	0.0006309573	0.001	2.67E+010	3.14E+008
0.8946	0.9973	0.0006309573	0.0001	2.92E+010	3.28E+008
0.8946	0.9973	0.0006309573	0.00001	3.12E+010	3.80E+008
0.9054	0.9971	0.0003981072	0.1	1.18E+010	1.69E+008
0.9102	0.9973	0.0003981072	0.01	2.89E+010	3.40E+008
0.9102	0.9973	0.0003981072	0.001	3.15E+010	3.61E+008
0.9102	0.9973	0.0003981072	0.0001	3.37E+010	3.72E+008
0.9102	0.9973	0.0003981072	0.00001	3.42E+010	3.78E+008
0.9164	0.9976	0.0002511886	0.1	2.28E+010	2.54E+008
0.9197	0.9974	0.0002511886	0.01	4.00E+010	4.15E+008
0.9196	0.9973	0.0002511886	0.001	4.37E+010	4.53E+008
0.9198	0.9973	0.0002511886	0.0001	5.07E+010	5.24E+008
0.9198	0.9972	0.0002511886	0.00001	5.61E+010	5.62E+008
0.9273	0.9986	0.0001584893	0.1	4.25E+010	4.23E+008
0.9278	0.9985	0.0001584893	0.01	5.50E+010	5.41E+008
0.9278	0.9985	0.0001584893	0.001	5.86E+010	5.77E+008
0.9277	0.9985	0.0001584893	0.0001	6.81E+010	6.66E+008
0.9277	0.9985	0.0001584893	0.00001	7.37E+010	7.10E+008
0.9298	0.9979	0.0001	0.1	7.26E+010	6.86E+008
0.9295	0.9979	0.0001	0.01	8.37E+010	7.85E+008
0.9295	0.9979	0.0001	0.001	8.51E+010	7.97E+008
0.9295	0.9979	0.0001	0.0001	8.72E+010	8.15E+008
0.9295	0.9979	0.0001	0.00001	8.79E+010	8.21E+008
