Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	2	7	7	11	16
0	1	-1.00	0	0	0	0	1	0
0	2	-1.00	0	0	0	0	2	0
0	3	-1.00	16	14	9	9	2	0
1	0	-1.00	0	0	16	16	16	16
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	16	16	0	0	0	0
2	0	-1.00	0	0	16	16	16	16
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	16	16	0	0	0	0
3	0	-1.00	0	0	16	16	16	16
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	16	16	0	0	0	0
4	0	-1.00	0	0	16	16	16	16
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	16	16	0	0	0	0
5	0	-1.00	0	0	16	16	16	16
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	16	16	0	0	0	0
6	0	-1.00	0	0	16	16	16	16
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	16	16	0	0	0	0
7	0	-1.00	0	0	27	27	27	32
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	32	32	5	5	5	0
8	0	-1.00	0	0	15	22	26	30
8	1	-1.00	0	0	0	0	0	0
8	2	-1.00	0	0	1	0	0	2
8	3	-1.00	32	32	16	10	6	0
9	0	-1.00	0	0	32	32	32	32
9	1	-1.00	0	0	0	0	0	0
9	2	-1.00	0	0	0	0	0	0
9	3	-1.00	32	32	0	0	0	0
10	0	-1.00	0	0	32	32	32	32
10	1	-1.00	0	0	0	0	0	0
10	2	-1.00	0	0	0	0	0	0
10	3	-1.00	32	32	0	0	0	0
11	0	-1.00	0	0	32	32	32	32
11	1	-1.00	0	0	0	0	0	0
11	2	-1.00	0	0	0	0	0	0
11	3	-1.00	32	32	0	0	0	0
12	0	-1.00	0	0	32	32	32	32
12	1	-1.00	0	0	0	0	0	0
12	2	-1.00	0	0	0	0	0	0
12	3	-1.00	32	32	0	0	0	0
13	0	-1.00	0	0	57	57	57	63
13	1	-1.00	0	0	0	0	0	0
13	2	-1.00	0	0	0	0	0	1
13	3	-1.00	64	64	7	7	7	0
14	0	-1.00	0	0	33	35	40	61
14	1	-1.00	0	0	0	0	0	0
14	2	-1.00	0	0	0	1	1	2
14	3	-1.00	64	64	31	28	23	1
15	0	-1.00	0	0	63	63	63	63
15	1	-1.00	0	0	0	0	0	0
