alpha	zeroing	top1	top5	FLOPS
-1	0.00001	0.98082	0.9998	7.40E+07
-1	0.0001	0.98004	0.9998	1.96E+07
-1	0.001	0.96078	0.99926	1.45E+07
-1	0.01	0.11289	0.50383	2.78E+06
-1	0.1	0.1141	0.50426	0.00E+00
-1.5	0.00001	0.98664	0.99969	7.86E+07
-1.5	0.0001	0.98727	0.99973	2.88E+07
-1.5	0.001	0.62277	0.98227	2.27E+07
-1.5	0.01	0.11348	0.50402	6.84E+06
-1.5	0.1	0.11344	0.50391	0.00E+00
-2	0.00001	0.99109	0.99988	8.71E+07
-2	0.0001	0.99094	0.99988	3.83E+07
-2	0.001	0.98855	0.99973	2.97E+07
-2	0.01	0.10125	0.48418	1.18E+07
-2	0.1	0.11227	0.49992	0.00E+00
-2.5	0.00001	0.99316	0.99973	1.05E+08
-2.5	0.0001	0.99309	0.99973	5.85E+07
-2.5	0.001	0.96469	0.99867	3.90E+07
-2.5	0.01	0.14082	0.89148	1.84E+07
-2.5	0.1	0.11371	0.50914	2.80E+05
-3	0.00001	0.99387	1	1.09E+08
-3	0.0001	0.99391	1	6.45E+07
-3	0.001	0.99414	1	4.88E+07
-3	0.01	0.95902	0.99883	2.91E+07
-3	0.1	0.098281	0.49086	3.81E+06
-3.5	0.00001	0.99465	1	1.12E+08
-3.5	0.0001	0.99414	1	8.16E+07
-3.5	0.001	0.99434	1	6.09E+07
-3.5	0.01	0.97836	0.99969	4.53E+07
-3.5	0.1	0.098203	0.51461	1.76E+07
-3.6	0.00001	0.99547	1	1.15E+08
-3.6	0.0001	0.99543	1	8.01E+07
-3.6	0.001	0.99582	1	6.83E+07
-3.6	0.01	0.9823	0.99988	5.58E+07
-3.6	0.1	0.097656	0.58199	2.36E+07
-3.7	0.00001	0.99465	0.99992	1.17E+08
-3.7	0.0001	0.99453	0.99992	8.56E+07
-3.7	0.001	0.99477	0.99988	7.36E+07
-3.7	0.01	0.98703	0.9998	5.74E+07
-3.7	0.1	0.098359	0.59605	2.88E+07
-3.8	0.00001	0.99605	1	1.20E+08
-3.8	0.0001	0.99617	1	9.50E+07
-3.8	0.001	0.99641	1	8.28E+07
-3.8	0.01	0.95844	0.99906	6.48E+07
-3.8	0.1	0.19684	0.68289	3.56E+07
-3.9	0.00001	0.99539	1	1.24E+08
-3.9	0.0001	0.99543	1	1.04E+08
-3.9	0.001	0.9952	0.99988	8.82E+07
-3.9	0.01	0.97902	0.99969	7.21E+07
-3.9	0.1	0.26344	0.74852	4.21E+07
-4	0.00001	0.99578	0.99988	1.24E+08
-4	0.0001	0.99555	0.99988	1.10E+08
-4	0.001	0.99539	0.99988	9.11E+07
-4	0.01	0.99	0.99988	7.48E+07
-4	0.1	0.10316	0.69473	4.87E+07
