Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	5	5	5	5	5
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	1
0	3	-1.00	0	0	1	1	1	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	6	1	0	0	0	0
1	0	-1.00	0	10	10	10	10	10
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	2
1	3	-1.00	0	0	0	0	0	2
1	4	-1.00	0	0	0	0	0	2
1	5	-1.00	16	6	6	6	6	0
2	0	-1.00	0	0	110	111	111	112
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	1	1
2	4	-1.00	0	41	0	0	0	1
2	5	-1.00	120	79	10	9	8	6
0	0	-2.00	0	0	0	0	0	0
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	3
0	3	-2.00	0	0	0	1	1	0
0	4	-2.00	0	0	0	0	1	2
0	5	-2.00	6	6	6	5	4	1
1	0	-2.00	0	1	3	3	3	3
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	1	0	0	0	0
1	3	-2.00	0	0	0	0	0	1
1	4	-2.00	0	1	0	0	0	5
1	5	-2.00	16	13	13	13	13	7
2	0	-2.00	0	0	88	100	101	102
2	1	-2.00	0	0	0	2	1	0
2	2	-2.00	0	0	1	0	0	0
2	3	-2.00	0	0	1	0	0	2
2	4	-2.00	0	19	2	0	0	0
2	5	-2.00	120	101	28	18	18	16
0	0	-3.00	0	0	0	0	0	0
0	1	-3.00	0	0	0	0	0	0
0	2	-3.00	0	0	0	0	0	0
0	3	-3.00	0	0	0	0	0	0
0	4	-3.00	0	0	0	0	0	0
0	5	-3.00	6	6	6	6	6	6
1	0	-3.00	0	0	0	0	0	0
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	0	0	0	0	0
1	4	-3.00	0	0	0	0	0	0
1	5	-3.00	16	16	16	16	16	16
2	0	-3.00	0	0	31	40	42	43
2	1	-3.00	0	0	4	3	1	2
2	2	-3.00	0	1	1	1	2	3
2	3	-3.00	0	7	2	2	2	3
2	4	-3.00	0	15	1	2	2	6
2	5	-3.00	120	97	81	72	71	63
0	0	-4.00	0	0	0	0	0	0
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	0
0	5	-4.00	6	6	6	6	6	6
1	0	-4.00	0	0	0	0	0	0
1	1	-4.00	0	0	0	0	0	0
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	0
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	16	16	16	16	16	16
2	0	-4.00	0	0	0	0	0	0
2	1	-4.00	0	0	0	0	0	0
2	2	-4.00	0	0	0	0	0	0
2	3	-4.00	0	0	0	0	0	0
2	4	-4.00	0	0	0	0	0	0
2	5	-4.00	120	120	120	120	120	120
