Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-2.00	0	3	3	3	3	3
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	1
0	3	-2.00	0	0	0	1	2	1
0	4	-2.00	0	0	0	1	0	1
0	5	-2.00	6	3	3	1	1	0
1	0	-2.00	0	10	10	10	10	10
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	0	6
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	16	6	6	6	6	0
2	0	-2.00	0	0	112	112	112	112
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	1
2	3	-2.00	0	0	0	0	0	3
2	4	-2.00	0	43	0	0	0	1
2	5	-2.00	120	77	8	8	8	3
0	0	-3.00	0	0	0	0	0	0
0	1	-3.00	0	0	0	0	0	0
0	2	-3.00	0	0	0	0	0	1
0	3	-3.00	0	0	0	0	0	0
0	4	-3.00	0	0	0	1	1	1
0	5	-3.00	6	6	6	5	5	4
1	0	-3.00	0	2	3	3	3	3
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	1	0	0	0	0
1	3	-3.00	0	0	0	0	0	1
1	4	-3.00	0	0	0	0	0	3
1	5	-3.00	16	13	13	13	13	9
2	0	-3.00	0	0	101	109	109	110
2	1	-3.00	0	0	1	0	0	0
2	2	-3.00	0	0	0	0	0	0
2	3	-3.00	0	0	3	0	0	1
2	4	-3.00	0	2	1	0	1	0
2	5	-3.00	120	118	14	11	10	9
0	0	-4.00	0	0	0	0	0	0
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	0
0	5	-4.00	6	6	6	6	6	6
1	0	-4.00	0	0	0	0	0	0
1	1	-4.00	0	0	0	0	0	0
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	0
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	16	16	16	16	16	16
2	0	-4.00	0	0	45	62	62	64
2	1	-4.00	0	0	2	1	2	3
2	2	-4.00	0	0	3	3	2	4
2	3	-4.00	0	8	9	2	2	1
2	4	-4.00	0	14	2	3	4	9
2	5	-4.00	120	98	59	49	48	39
