Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	9	9	10	16	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	1	0	0
0	5	-1.00	16	7	7	5	0	0
1	0	-1.00	0	27	29	31	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	1	1	0	0	0
1	5	-1.00	32	4	2	1	0	0
2	0	-1.00	0	14	27	31	32	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	1	0	0	0
2	4	-1.00	0	4	2	1	0	0
2	5	-1.00	32	14	2	0	0	0
3	0	-1.00	0	25	27	29	32	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	1	0	0	0
3	3	-1.00	0	0	0	0	0	0
3	4	-1.00	0	1	0	0	0	0
3	5	-1.00	32	6	4	3	0	0
4	0	-1.00	0	2	23	28	32	32
4	1	-1.00	0	1	0	0	0	0
4	2	-1.00	0	1	0	0	0	0
4	3	-1.00	0	1	1	0	0	0
4	4	-1.00	0	2	1	2	0	0
4	5	-1.00	32	25	7	2	0	0
5	0	-1.00	0	47	53	58	64	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	2	1	0	0	0
5	4	-1.00	0	0	2	0	0	0
5	5	-1.00	64	15	8	6	0	0
6	0	-1.00	0	1	17	54	64	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	1	0	0	0	0
6	4	-1.00	0	1	10	0	0	0
6	5	-1.00	64	61	37	10	0	0
7	0	-1.00	0	54	56	56	64	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	0	0	0	0	0
7	4	-1.00	0	0	0	0	0	0
7	5	-1.00	64	10	8	8	0	0
8	0	-1.00	0	1	4	17	64	64
8	1	-1.00	0	0	0	2	0	0
8	2	-1.00	0	0	1	0	0	0
8	3	-1.00	0	0	1	7	0	0
8	4	-1.00	0	0	2	15	0	0
8	5	-1.00	64	63	56	23	0	0
0	0	-2.00	0	9	10	10	15	16
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	1	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	1	0	0	0	0
0	5	-2.00	16	6	6	6	0	0
1	0	-2.00	0	25	28	31	31	32
1	1	-2.00	0	0	1	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	1	0	1	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	32	7	2	1	0	0
2	0	-2.00	0	5	19	28	32	32
