Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	1	2	5	13	16
0	1	-1.00	0	4	4	3	3	0
0	2	-1.00	0	3	3	2	0	0
0	3	-1.00	0	1	0	2	0	0
0	4	-1.00	0	0	0	2	0	0
0	5	-1.00	16	7	7	2	0	0
1	0	-1.00	0	32	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	0	0	0	0	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	32	32	32	32	32	0
3	0	-1.00	0	32	32	32	32	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	0	0	0	0	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	0	0	0	0	0
4	0	-1.00	0	0	0	0	0	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	0	0	0	0	0	0
4	4	-1.00	0	0	0	0	0	0
4	5	-1.00	32	32	32	32	32	0
5	0	-1.00	0	64	64	64	64	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	0	0	0	0	0
5	4	-1.00	0	0	0	0	0	0
5	5	-1.00	64	0	0	0	0	0
6	0	-1.00	0	0	0	0	0	58
6	1	-1.00	0	0	0	0	0	1
6	2	-1.00	0	0	0	0	0	3
6	3	-1.00	0	0	0	0	0	0
6	4	-1.00	0	0	0	0	0	2
6	5	-1.00	64	64	64	64	64	0
7	0	-1.00	0	62	62	62	64	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	0	0	0	0	0
7	4	-1.00	0	0	0	0	0	0
7	5	-1.00	64	2	2	2	0	0
8	0	-1.00	0	0	0	0	0	64
8	1	-1.00	0	0	0	0	0	0
8	2	-1.00	0	0	0	0	0	0
8	3	-1.00	0	0	0	0	0	0
8	4	-1.00	0	0	0	0	1	0
8	5	-1.00	64	64	64	64	63	0
0	0	-2.00	0	2	2	4	16	16
0	1	-2.00	0	2	2	2	0	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	1	1	0	0	0
0	4	-2.00	0	0	0	5	0	0
0	5	-2.00	16	11	11	5	0	0
1	0	-2.00	0	32	32	32	32	32
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	32	0	0	0	0	0
2	0	-2.00	0	0	0	0	0	5
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	4
2	3	-2.00	0	0	0	0	0	8
2	4	-2.00	0	0	0	0	0	13
2	5	-2.00	32	32	32	32	32	2
3	0	-2.00	0	32	32	32	32	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	0	0	0	0	0
3	5	-2.00	32	0	0	0	0	0
4	0	-2.00	0	0	0	0	0	28
4	1	-2.00	0	0	0	0	0	2
4	2	-2.00	0	0	0	0	0	0
4	3	-2.00	0	0	0	0	0	2
4	4	-2.00	0	0	0	0	0	0
4	5	-2.00	32	32	32	32	32	0
5	0	-2.00	0	61	61	63	64	64
5	1	-2.00	0	0	0	0	0	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	0	0	0	1	0	0
5	4	-2.00	0	0	0	0	0	0
5	5	-2.00	64	3	3	0	0	0
6	0	-2.00	0	0	0	0	0	42
6	1	-2.00	0	0	0	0	0	1
6	2	-2.00	0	0	0	0	0	8
6	3	-2.00	0	0	0	0	0	10
6	4	-2.00	0	0	0	0	0	3
6	5	-2.00	64	64	64	64	64	0
7	0	-2.00	0	58	58	58	64	64
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	0	0	0
7	3	-2.00	0	0	0	1	0	0
7	4	-2.00	0	0	0	0	0	0
7	5	-2.00	64	6	6	5	0	0
8	0	-2.00	0	0	0	0	0	64
8	1	-2.00	0	0	0	0	0	0
8	2	-2.00	0	0	0	0	0	0
8	3	-2.00	0	0	0	0	0	0
8	4	-2.00	0	0	0	0	1	0
8	5	-2.00	64	64	64	64	63	0
0	0	-3.00	0	0	0	1	14	16
0	1	-3.00	0	0	0	0	1	0
0	2	-3.00	0	1	1	2	1	0
0	3	-3.00	0	0	1	0	0	0
0	4	-3.00	0	0	0	1	0	0
0	5	-3.00	16	15	14	12	0	0
1	0	-3.00	0	32	32	32	32	32
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	0	0	0	0	0
1	4	-3.00	0	0	0	0	0	0
1	5	-3.00	32	0	0	0	0	0
2	0	-3.00	0	0	0	0	0	7
2	1	-3.00	0	0	0	0	0	0
2	2	-3.00	0	0	0	0	0	7
2	3	-3.00	0	0	0	0	0	7
2	4	-3.00	0	0	0	0	0	9
2	5	-3.00	32	32	32	32	32	2
3	0	-3.00	0	28	30	30	32	32
3	1	-3.00	0	0	0	0	0	0
3	2	-3.00	0	0	0	0	0	0
3	3	-3.00	0	1	0	0	0	0
3	4	-3.00	0	1	0	1	0	0
3	5	-3.00	32	2	2	1	0	0
4	0	-3.00	0	0	0	0	0	32
4	1	-3.00	0	0	0	0	0	0
4	2	-3.00	0	0	0	0	0	0
4	3	-3.00	0	0	0	0	0	0
4	4	-3.00	0	0	0	0	1	0
4	5	-3.00	32	32	32	32	31	0
5	0	-3.00	0	51	58	58	64	64
5	1	-3.00	0	1	0	0	0	0
5	2	-3.00	0	3	0	0	0	0
5	3	-3.00	0	1	0	0	0	0
5	4	-3.00	0	2	0	0	0	0
5	5	-3.00	64	6	6	6	0	0
6	0	-3.00	0	0	0	0	0	64
6	1	-3.00	0	0	0	0	0	0
6	2	-3.00	0	0	0	0	0	0
6	3	-3.00	0	0	0	0	0	0
6	4	-3.00	0	0	0	0	0	0
6	5	-3.00	64	64	64	64	64	0
7	0	-3.00	0	53	55	55	64	64
7	1	-3.00	0	0	0	0	0	0
7	2	-3.00	0	0	0	0	0	0
7	3	-3.00	0	0	0	0	0	0
7	4	-3.00	0	1	0	0	0	0
7	5	-3.00	64	10	9	9	0	0
8	0	-3.00	0	0	0	0	0	64
8	1	-3.00	0	0	0	0	0	0
8	2	-3.00	0	0	0	0	0	0
8	3	-3.00	0	0	0	0	0	0
8	4	-3.00	0	0	0	0	7	0
8	5	-3.00	64	64	64	64	57	0
