Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	11	11	11	15	16
0	1	-1.00	0	1	1	1	1	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	4	4	4	0	0
1	0	-1.00	0	29	29	29	30	32
1	1	-1.00	0	1	1	1	1	0
1	2	-1.00	0	0	0	0	1	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	2	2	2	0	0
2	0	-1.00	0	30	30	30	31	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	1	1	1	1	0
2	5	-1.00	32	1	1	1	0	0
3	0	-1.00	0	29	29	29	30	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	1	1	1	1	0
3	3	-1.00	0	1	1	1	1	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	1	1	1	0	0
4	0	-1.00	0	28	28	28	28	31
4	1	-1.00	0	3	3	3	3	1
4	2	-1.00	0	0	0	0	1	0
4	3	-1.00	0	1	1	1	0	0
4	4	-1.00	0	0	0	0	0	0
4	5	-1.00	32	0	0	0	0	0
5	0	-1.00	0	64	64	64	64	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	0	0	0	0	0
5	4	-1.00	0	0	0	0	0	0
5	5	-1.00	64	0	0	0	0	0
6	0	-1.00	0	64	64	64	64	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	0	0	0	0	0
6	4	-1.00	0	0	0	0	0	0
6	5	-1.00	64	0	0	0	0	0
7	0	-1.00	0	60	60	60	61	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	1	0
7	3	-1.00	0	0	0	0	1	0
7	4	-1.00	0	0	0	0	0	0
7	5	-1.00	64	4	4	4	1	0
8	0	-1.00	0	49	49	49	49	64
8	1	-1.00	0	15	15	15	15	0
8	2	-1.00	0	0	0	0	0	0
8	3	-1.00	0	0	0	0	0	0
8	4	-1.00	0	0	0	0	0	0
8	5	-1.00	64	0	0	0	0	0
0	0	-2.00	0	9	9	10	11	16
0	1	-2.00	0	0	1	0	1	0
0	2	-2.00	0	2	1	1	1	0
0	3	-2.00	0	1	1	1	2	0
0	4	-2.00	0	1	1	1	0	0
0	5	-2.00	16	3	3	3	1	0
1	0	-2.00	0	27	27	27	27	32
1	1	-2.00	0	0	0	0	1	0
1	2	-2.00	0	0	0	0	1	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	1	1	1	1	0
1	5	-2.00	32	4	4	4	2	0
2	0	-2.00	0	28	28	28	28	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	1	1	1	1	0
2	3	-2.00	0	0	0	0	0	0
2	4	-2.00	0	0	0	0	1	0
2	5	-2.00	32	3	3	3	2	0
3	0	-2.00	0	25	25	25	25	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	1	0
3	3	-2.00	0	0	0	0	1	0
3	4	-2.00	0	0	0	0	4	0
3	5	-2.00	32	7	7	7	1	0
4	0	-2.00	0	25	25	25	25	32
4	1	-2.00	0	2	2	2	3	0
