Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-0.10	0	58	58	58	59	64
0	1	-0.10	0	0	0	0	0	0
0	2	-0.10	0	0	0	0	1	0
0	3	-0.10	0	0	0	0	3	0
0	4	-0.10	0	0	0	1	1	0
0	5	-0.10	64	6	6	5	0	0
1	0	-0.10	0	20	41	41	41	47
1	1	-0.10	0	2	0	0	0	0
1	2	-0.10	0	5	0	0	0	0
1	3	-0.10	0	3	0	0	0	1
1	4	-0.10	0	8	0	0	0	4
1	5	-0.10	64	26	23	23	23	12
2	0	-0.10	0	0	9	20	24	30
2	1	-0.10	0	0	0	0	0	1
2	2	-0.10	0	0	1	0	0	1
2	3	-0.10	0	0	0	0	1	2
2	4	-0.10	0	0	3	0	0	1
2	5	-0.10	64	64	51	44	39	29
3	0	-0.10	0	16	47	47	47	50
3	1	-0.10	0	2	0	0	0	0
3	2	-0.10	0	6	0	0	0	0
3	3	-0.10	0	13	0	0	0	1
3	4	-0.10	0	8	0	0	0	4
3	5	-0.10	64	19	17	17	17	9
4	0	-0.10	0	0	10	26	29	38
4	1	-0.10	0	0	0	0	0	0
4	2	-0.10	0	0	0	0	0	0
4	3	-0.10	0	0	1	0	0	2
4	4	-0.10	0	0	3	0	2	4
4	5	-0.10	64	64	50	38	33	20
5	0	-0.10	0	6	34	34	34	38
5	1	-0.10	0	1	0	0	0	1
5	2	-0.10	0	2	0	0	0	1
5	3	-0.10	0	9	0	0	0	1
5	4	-0.10	0	13	0	0	1	5
5	5	-0.10	64	33	30	30	29	18
6	0	-0.10	0	0	0	20	33	42
6	1	-0.10	0	0	0	0	0	0
6	2	-0.10	0	0	0	1	0	0
6	3	-0.10	0	0	0	4	2	0
6	4	-0.10	0	0	0	3	2	1
6	5	-0.10	64	64	64	36	27	21
7	0	-0.10	0	6	31	31	33	39
7	1	-0.10	0	1	0	0	0	2
7	2	-0.10	0	6	0	0	0	1
7	3	-0.10	0	7	0	0	1	3
7	4	-0.10	0	10	0	0	0	11
7	5	-0.10	64	34	33	33	30	8
8	0	-0.10	0	0	0	0	0	0
8	1	-0.10	0	0	0	0	0	2
8	2	-0.10	0	0	0	0	0	17
8	3	-0.10	0	0	0	0	1	22
8	4	-0.10	0	0	0	0	8	23
8	5	-0.10	64	64	64	64	55	0
0	0	-0.20	0	62	62	62	62	64
0	1	-0.20	0	0	0	0	0	0
0	2	-0.20	0	0	0	0	0	0
0	3	-0.20	0	0	0	0	2	0
0	4	-0.20	0	0	0	1	0	0
0	5	-0.20	64	2	2	1	0	0
1	0	-0.20	0	10	40	40	40	46
1	1	-0.20	0	1	0	0	0	0
1	2	-0.20	0	7	0	0	0	0
1	3	-0.20	0	12	0	0	0	1
1	4	-0.20	0	7	0	0	0	5
1	5	-0.20	64	27	24	24	24	12
2	0	-0.20	0	0	2	13	21	28
2	1	-0.20	0	0	0	0	0	0
2	2	-0.20	0	0	0	0	0	0
2	3	-0.20	0	0	0	2	0	0
2	4	-0.20	0	0	1	3	1	5
2	5	-0.20	64	64	61	46	42	31
3	0	-0.20	0	20	43	43	43	48
3	1	-0.20	0	1	0	0	0	0
3	2	-0.20	0	6	0	0	0	0
3	3	-0.20	0	6	0	0	0	1
3	4	-0.20	0	8	0	0	0	8
3	5	-0.20	64	23	21	21	21	7
4	0	-0.20	0	0	2	13	27	32
4	1	-0.20	0	0	0	0	0	2
4	2	-0.20	0	0	0	1	0	3
4	3	-0.20	0	0	0	2	0	2
4	4	-0.20	0	0	0	5	0	5
4	5	-0.20	64	64	62	43	37	20
5	0	-0.20	0	17	38	38	38	41
5	1	-0.20	0	3	0	0	0	0
5	2	-0.20	0	5	0	0	0	2
5	3	-0.20	0	4	0	0	0	2
5	4	-0.20	0	6	0	0	1	8
5	5	-0.20	64	29	26	26	25	11
6	0	-0.20	0	0	0	10	29	38
6	1	-0.20	0	0	0	0	1	0
6	2	-0.20	0	0	0	0	0	0
6	3	-0.20	0	0	0	2	2	0
6	4	-0.20	0	0	0	5	2	1
6	5	-0.20	64	64	64	47	30	25
7	0	-0.20	0	15	28	28	28	38
7	1	-0.20	0	1	0	0	0	0
7	2	-0.20	0	6	0	0	0	3
7	3	-0.20	0	4	0	0	1	1
7	4	-0.20	0	2	0	0	1	14
7	5	-0.20	64	36	36	36	34	8
8	0	-0.20	0	0	0	0	0	0
8	1	-0.20	0	0	0	0	0	0
8	2	-0.20	0	0	0	0	0	14
8	3	-0.20	0	0	0	0	0	23
8	4	-0.20	0	0	0	1	12	27
8	5	-0.20	64	64	64	63	52	0
0	0	-0.40	0	58	58	59	60	64
0	1	-0.40	0	0	0	0	0	0
0	2	-0.40	0	0	0	0	1	0
0	3	-0.40	0	0	0	0	1	0
0	4	-0.40	0	0	0	0	2	0
0	5	-0.40	64	6	6	5	0	0
1	0	-0.40	0	12	37	37	37	40
1	1	-0.40	0	3	0	0	0	0
1	2	-0.40	0	4	0	0	0	1
1	3	-0.40	0	8	0	0	0	1
1	4	-0.40	0	8	0	0	1	2
1	5	-0.40	64	29	27	27	26	20
2	0	-0.40	0	0	9	10	16	27
2	1	-0.40	0	0	0	0	0	0
2	2	-0.40	0	0	0	0	0	0
2	3	-0.40	0	0	0	0	0	1
2	4	-0.40	0	0	0	3	0	3
2	5	-0.40	64	64	55	51	48	33
3	0	-0.40	0	11	40	40	40	44
3	1	-0.40	0	5	0	0	0	1
3	2	-0.40	0	5	0	0	0	1
