Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	4	4	11	13	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	3	0
0	5	-1.00	16	12	12	5	0	0
1	0	-1.00	0	28	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	2	0	0	0	0
1	3	-1.00	0	2	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	11	32	32	32	32
2	1	-1.00	0	2	0	0	0	0
2	2	-1.00	0	4	0	0	0	0
2	3	-1.00	0	7	0	0	0	0
2	4	-1.00	0	6	0	0	0	0
2	5	-1.00	32	2	0	0	0	0
3	0	-1.00	0	4	32	32	32	32
3	1	-1.00	0	1	0	0	0	0
3	2	-1.00	0	5	0	0	0	0
3	3	-1.00	0	10	0	0	0	0
3	4	-1.00	0	10	0	0	0	0
3	5	-1.00	32	2	0	0	0	0
4	0	-1.00	0	7	32	32	32	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	2	0	0	0	0
4	3	-1.00	0	12	0	0	0	0
4	4	-1.00	0	10	0	0	0	0
4	5	-1.00	32	1	0	0	0	0
5	0	-1.00	0	19	64	64	64	64
5	1	-1.00	0	1	0	0	0	0
5	2	-1.00	0	11	0	0	0	0
5	3	-1.00	0	13	0	0	0	0
5	4	-1.00	0	17	0	0	0	0
5	5	-1.00	64	3	0	0	0	0
6	0	-1.00	0	0	64	64	64	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	1	0	0	0	0
6	3	-1.00	0	8	0	0	0	0
6	4	-1.00	0	45	0	0	0	0
6	5	-1.00	64	10	0	0	0	0
7	0	-1.00	0	2	64	64	64	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	1	0	0	0	0
7	3	-1.00	0	8	0	0	0	0
7	4	-1.00	0	40	0	0	0	0
7	5	-1.00	64	13	0	0	0	0
8	0	-1.00	0	1	64	64	64	64
8	1	-1.00	0	0	0	0	0	0
8	2	-1.00	0	1	0	0	0	0
8	3	-1.00	0	7	0	0	0	0
8	4	-1.00	0	35	0	0	0	0
8	5	-1.00	64	20	0	0	0	0
0	0	-2.00	0	7	7	7	9	16
0	1	-2.00	0	0	0	0	1	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	1	1	0
0	4	-2.00	0	0	0	0	0	0
0	5	-2.00	16	9	9	8	5	0
1	0	-2.00	0	23	32	32	32	32
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	4	0	0	0	0
1	3	-2.00	0	3	0	0	0	0
1	4	-2.00	0	2	0	0	0	0
1	5	-2.00	32	0	0	0	0	0
2	0	-2.00	0	14	32	32	32	32
2	1	-2.00	0	1	0	0	0	0
2	2	-2.00	0	2	0	0	0	0
2	3	-2.00	0	5	0	0	0	0
2	4	-2.00	0	9	0	0	0	0
2	5	-2.00	32	1	0	0	0	0
3	0	-2.00	0	7	30	30	32	32
3	1	-2.00	0	1	0	0	0	0
3	2	-2.00	0	4	0	0	0	0
3	3	-2.00	0	9	0	0	0	0
3	4	-2.00	0	9	0	0	0	0
3	5	-2.00	32	2	2	2	0	0
4	0	-2.00	0	6	30	30	31	32
4	1	-2.00	0	2	0	0	1	0
4	2	-2.00	0	4	0	0	0	0
4	3	-2.00	0	7	0	0	0	0
4	4	-2.00	0	10	0	0	0	0
4	5	-2.00	32	3	2	2	0	0
5	0	-2.00	0	16	61	61	62	64
5	1	-2.00	0	3	0	0	1	0
5	2	-2.00	0	8	0	0	1	0
5	3	-2.00	0	21	0	0	0	0
5	4	-2.00	0	12	0	0	0	0
5	5	-2.00	64	4	3	3	0	0
6	0	-2.00	0	1	61	61	63	64
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	1	0	0	1	0
6	3	-2.00	0	3	0	0	0	0
6	4	-2.00	0	34	0	0	0	0
6	5	-2.00	64	25	3	3	0	0
7	0	-2.00	0	0	60	60	60	64
7	1	-2.00	0	0	0	0	1	0
7	2	-2.00	0	0	0	0	3	0
7	3	-2.00	0	3	0	0	0	0
7	4	-2.00	0	37	0	0	0	0
7	5	-2.00	64	24	4	4	0	0
8	0	-2.00	0	0	29	38	64	64
8	1	-2.00	0	0	0	4	0	0
8	2	-2.00	0	0	1	6	0	0
8	3	-2.00	0	0	3	6	0	0
8	4	-2.00	0	15	3	4	0	0
8	5	-2.00	64	49	28	6	0	0
0	0	-3.00	0	3	3	3	3	16
0	1	-3.00	0	0	0	0	0	0
0	2	-3.00	0	0	0	0	0	0
0	3	-3.00	0	0	0	0	0	0
0	4	-3.00	0	0	0	0	0	0
0	5	-3.00	16	13	13	13	13	0
1	0	-3.00	0	27	29	29	29	32
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	2	0	0	0	0
1	4	-3.00	0	0	0	0	1	0
1	5	-3.00	32	3	3	3	2	0
2	0	-3.00	0	7	27	29	29	32
2	1	-3.00	0	2	0	0	0	0
2	2	-3.00	0	4	0	0	1	0
2	3	-3.00	0	8	1	0	1	0
2	4	-3.00	0	6	1	0	0	0
2	5	-3.00	32	5	3	3	1	0
3	0	-3.00	0	12	29	29	29	32
3	1	-3.00	0	0	0	0	0	0
3	2	-3.00	0	3	0	0	0	0
3	3	-3.00	0	4	0	0	0	0
3	4	-3.00	0	7	0	0	2	0
3	5	-3.00	32	6	3	3	1	0
4	0	-3.00	0	8	28	29	29	32
4	1	-3.00	0	0	1	0	1	0
4	2	-3.00	0	3	0	0	0	0
4	3	-3.00	0	10	0	0	1	0
4	4	-3.00	0	5	0	0	1	0
4	5	-3.00	32	6	3	3	0	0
5	0	-3.00	0	20	57	57	57	64
5	1	-3.00	0	0	0	0	0	0
5	2	-3.00	0	9	0	0	1	0
5	3	-3.00	0	12	0	0	3	0
5	4	-3.00	0	12	0	0	1	0
5	5	-3.00	64	11	7	7	2	0
6	0	-3.00	0	0	30	55	56	64
6	1	-3.00	0	0	2	0	0	0
6	2	-3.00	0	0	3	0	1	0
6	3	-3.00	0	0	7	0	3	0
6	4	-3.00	0	10	8	0	3	0
6	5	-3.00	64	54	14	9	1	0
7	0	-3.00	0	0	57	57	57	64
7	1	-3.00	0	0	0	0	0	0
7	2	-3.00	0	2	0	0	1	0
7	3	-3.00	0	9	0	0	3	0
7	4	-3.00	0	32	0	0	3	0
7	5	-3.00	64	21	7	7	0	0
8	0	-3.00	0	0	11	15	57	64
8	1	-3.00	0	0	1	1	7	0
8	2	-3.00	0	0	0	3	0	0
8	3	-3.00	0	0	0	9	0	0
8	4	-3.00	0	6	2	16	0	0
8	5	-3.00	64	58	50	20	0	0
0	0	-4.00	0	0	0	0	0	3
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	1
0	4	-4.00	0	0	0	0	0	7
0	5	-4.00	16	16	16	16	16	5
1	0	-4.00	0	21	24	24	24	25
1	1	-4.00	0	0	0	0	0	3
1	2	-4.00	0	0	0	0	0	1
1	3	-4.00	0	2	0	0	0	0
1	4	-4.00	0	1	0	0	0	3
1	5	-4.00	32	8	8	8	8	0
2	0	-4.00	0	0	7	22	22	31
2	1	-4.00	0	0	0	1	1	1
2	2	-4.00	0	0	0	0	0	0
2	3	-4.00	0	0	6	0	0	0
2	4	-4.00	0	3	5	0	2	0
2	5	-4.00	32	29	14	9	7	0
