alpha	zeroing	top1	top5	FLOPS
-3.4	0.00001	0.9951	1	1.54E+08
-3.4	0.0001	0.9951	1	1.22E+08
-3.4	0.001	0.9951	1	1.22E+08
-3.4	0.01	0.9938	1	1.19E+08
-3.5	0.00001	0.9948	0.9999	1.53E+08
-3.5	0.0001	0.9948	0.9999	1.27E+08
-3.5	0.001	0.9948	0.9999	1.27E+08
-3.5	0.01	0.9932	0.9999	1.26E+08
-3.6	0.00001	0.994	0.9999	1.56E+08
-3.6	0.0001	0.994	0.9999	1.32E+08
-3.6	0.001	0.994	0.9999	1.32E+08
-3.6	0.01	0.9938	0.9999	1.32E+08
-3.7	0.00001	0.9946	1	1.56E+08
-3.7	0.0001	0.9946	1	1.23E+08
-3.7	0.001	0.9946	1	1.23E+08
-3.7	0.01	0.9944	1	1.23E+08
-3.8	0.00001	0.9951	1	1.58E+08
-3.8	0.0001	0.9951	1	1.37E+08
-3.8	0.001	0.995	1	1.37E+08
-3.8	0.01	0.9947	1	1.35E+08
-3.9	0.00001	0.9943	1	1.59E+08
-3.9	0.0001	0.9943	1	1.38E+08
-3.9	0.001	0.9943	1	1.38E+08
-3.9	0.01	0.9942	1	1.37E+08
-4	0.00001	0.9945	1	1.60E+08
-4	0.0001	0.9945	1	1.43E+08
-4	0.001	0.9945	1	1.43E+08
-4	0.01	0.9945	1	1.43E+08
