Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-0.25 0 32	22	1	0	0
0	1	-0.25	0	0	1	0	0	0
0	2	-0.25	0	0	0	0	0	0
0	3	-0.25	0	0	0	0	0	0
0	4	-0.25	0	0	1	0	0	0
0	5	-0.25	0	0	0	0	0	0
0	6	-0.25	0	0	0	0	0	0
0	7	-0.25	0	0	0	0	0	0
0	8	-0.25	0	0	0	0	0	0
0	9	-0.25	0	0	2	0	0	0
0	10	-0.25	32	0	6	31	32	32
1	0	-0.25	0	32	20	3	0	0
1	1	-0.25	0	0	0	0	0	0
1	2	-0.25	0	0	0	0	0	0
1	3	-0.25	0	0	0	0	0	0
1	4	-0.25	0	0	0	0	0	0
1	5	-0.25	0	0	0	0	0	0
1	6	-0.25	0	0	0	0	0	0
1	7	-0.25	0	0	0	0	0	0
1	8	-0.25	0	0	0	0	0	0
1	9	-0.25	0	0	0	0	0	0
1	10	-0.25	32	0	12	29	32	32
2	0	-0.25	0	32	28	3	1	0
2	1	-0.25	0	0	0	0	0	0
2	2	-0.25	0	0	0	0	0	0
2	3	-0.25	0	0	0	0	0	0
2	4	-0.25	0	0	0	0	0	0
2	5	-0.25	0	0	0	0	0	0
2	6	-0.25	0	0	0	0	0	0
2	7	-0.25	0	0	0	0	0	0
2	8	-0.25	0	0	0	1	0	0
2	9	-0.25	0	0	0	0	0	0
2	10	-0.25	32	0	4	28	31	32
0	0	-0.75	0	30	20	4	0	0
0	1	-0.75	0	0	0	0	0	0
0	2	-0.75	0	0	1	0	0	0
0	3	-0.75	0	0	2	0	0	0
0	4	-0.75	0	0	0	0	0	0
0	5	-0.75	0	0	0	0	0	0
0	6	-0.75	0	0	0	0	0	0
0	7	-0.75	0	0	0	2	0	0
0	8	-0.75	0	1	2	0	0	0
0	9	-0.75	0	1	2	1	0	0
0	10	-0.75	32	0	5	25	32	32
1	0	-0.75	0	32	32	15	0	0
1	1	-0.75	0	0	0	0	0	0
1	2	-0.75	0	0	0	0	0	0
1	3	-0.75	0	0	0	0	0	0
1	4	-0.75	0	0	0	0	0	0
1	5	-0.75	0	0	0	0	0	0
1	6	-0.75	0	0	0	0	0	0
1	7	-0.75	0	0	0	0	0	0
1	8	-0.75	0	0	0	0	0	0
1	9	-0.75	0	0	0	0	0	0
1	10	-0.75	32	0	0	17	32	32
2	0	-0.75	0	32	32	24	0	0
2	1	-0.75	0	0	0	0	0	0
2	2	-0.75	0	0	0	0	0	0
2	3	-0.75	0	0	0	0	0	0
2	4	-0.75	0	0	0	0	0	0
2	5	-0.75	0	0	0	0	0	0
2	6	-0.75	0	0	0	0	0	0
2	7	-0.75	0	0	0	0	0	0
2	8	-0.75	0	0	0	0	0	0
2	9	-0.75	0	0	0	0	0	0
2	10	-0.75	32	0	0	8	32	32
0	0	-1.25	0	30	26	13	1	0
0	1	-1.25	0	0	0	0	0	0
0	2	-1.25	0	1	0	0	0	0
0	3	-1.25	0	1	0	0	0	0
0	4	-1.25	0	0	0	0	0	0
0	5	-1.25	0	0	0	1	0	0
0	6	-1.25	0	0	0	0	0	0
0	7	-1.25	0	0	0	0	0	0
0	8	-1.25	0	0	0	0	0	0
0	9	-1.25	0	0	2	0	1	0
0	10	-1.25	32	0	4	18	30	32
1	0	-1.25	0	31	31	22	1	0
1	1	-1.25	0	0	0	0	0	0
1	2	-1.25	0	0	0	0	0	0
1	3	-1.25	0	0	0	0	0	0
1	4	-1.25	0	0	0	0	0	0
1	5	-1.25	0	1	0	0	0	0
1	6	-1.25	0	0	0	0	0	0
1	7	-1.25	0	0	0	0	0	0
1	8	-1.25	0	0	0	0	0	0
1	9	-1.25	0	0	0	0	0	0
1	10	-1.25	32	0	1	10	31	32
2	0	-1.25	0	31	30	27	0	0
2	1	-1.25	0	0	0	0	0	0
2	2	-1.25	0	0	0	0	0	0
2	3	-1.25	0	0	0	0	0	0
2	4	-1.25	0	0	0	0	0	0
2	5	-1.25	0	0	0	0	0	0
2	6	-1.25	0	0	0	0	0	0
2	7	-1.25	0	0	0	0	0	0
2	8	-1.25	0	0	0	0	0	0
2	9	-1.25	0	0	1	0	1	0
2	10	-1.25	32	1	1	5	31	32
0	0	-1.75	0	31	31	31	10	2
0	1	-1.75	0	0	0	0	0	0
0	2	-1.75	0	0	0	0	0	0
0	3	-1.75	0	0	0	0	0	0
0	4	-1.75	0	1	0	0	0	0
0	5	-1.75	0	0	0	0	0	0
0	6	-1.75	0	0	0	0	0	0
0	7	-1.75	0	0	0	0	0	0
0	8	-1.75	0	0	0	0	0	0
