top1	FLOPS	alpha	zeroing
0.8174	1.60E+008	1.78E-02	0.00001
0.8174	1.28E+008	1.78E-02	0.0001
0.7939	4.73E+007	1.78E-02	0.001
0.8441	1.63E+008	1.00E-02	0.00001
0.8441	1.07E+008	1.00E-02	0.0001
0.8441	4.78E+007	1.00E-02	0.001
0.9437	1.58E+008	5.62E-03	0.00001
0.9437	9.24E+007	5.62E-03	0.0001
0.9437	5.92E+007	5.62E-03	0.001
0.893	5.25E+007	5.62E-03	0.01
0.977	1.50E+008	3.16E-03	0.00001
0.977	8.24E+007	3.16E-03	0.0001
0.977	6.57E+007	3.16E-03	0.001
0.8831	5.42E+007	3.16E-03	0.01
0.9835	1.51E+008	1.78E-03	0.00001
0.9835	8.58E+007	1.78E-03	0.0001
0.9839	8.04E+007	1.78E-03	0.001
0.9754	7.11E+007	1.78E-03	0.01
0.9915	1.47E+008	1.00E-03	0.00001
0.9915	1.06E+008	1.00E-03	0.0001
0.9915	9.87E+007	1.00E-03	0.001
0.9879	8.66E+007	1.00E-03	0.01
0.9924	1.46E+008	5.62E-04	0.00001
0.9924	1.17E+008	5.62E-04	0.0001
0.9924	1.16E+008	5.62E-04	0.001
0.9904	1.07E+008	5.62E-04	0.01
0.9934	1.34E+008	3.16E-04	0.00001
0.9934	1.21E+008	3.16E-04	0.0001
0.9941	1.17E+008	3.16E-04	0.001
0.9935	1.08E+008	3.16E-04	0.01
0.994	1.48E+008	1.78E-04	0.00001
0.994	1.47E+008	1.78E-04	0.0001
0.994	1.45E+008	1.78E-04	0.001
0.9853	1.41E+008	1.78E-04	0.01
0.9953	1.63E+008	1.00E-04	0.00001
0.9953	1.61E+008	1.00E-04	0.0001
0.9949	1.59E+008	1.00E-04	0.001
0.9944	1.55E+008	1.00E-04	0.01
0.9947	1.63E+008	5.62E-05	0.00001
0.9947	1.63E+008	5.62E-05	0.0001
0.9947	1.63E+008	5.62E-05	0.001
0.9947	1.63E+008	5.62E-05	0.01
0.9945	1.63E+008	3.16E-05	0.00001
0.9945	1.63E+008	3.16E-05	0.0001
0.9945	1.63E+008	3.16E-05	0.001
0.9945	1.63E+008	3.16E-05	0.01
0.9682	1.60E+008	3.16E-05	0.1
0.9942	1.63E+008	1.78E-05	0.00001
0.9942	1.63E+008	1.78E-05	0.0001
0.9942	1.63E+008	1.78E-05	0.001
0.9942	1.63E+008	1.78E-05	0.01
0.9942	1.63E+008	1.78E-05	0.1
0.9938	1.63E+008	1.00E-05	0.00001
0.9938	1.63E+008	1.00E-05	0.0001
0.9938	1.63E+008	1.00E-05	0.001
0.9938	1.63E+008	1.00E-05	0.01
0.9938	1.63E+008	1.00E-05	0.1
