layer_num,alpha,tau_e-5,tau_e-4,tau_e-3,FLOPS_tau_e-5,FLOPS_tau_e-4,FLOPS_tau_e-3,Total FLOPS tau e-5,Total FLOPS e-4,Total FLOPS e-3 ,red_tau_e-5,red_tau_e-4,red_tau_e-3
1,0,64,64,64,118013952,118013952,118013952,696041472,696041472,696041472,0,0,0
2,0,64,64,64,115605504,115605504,115605504,,,,,,
3,0,64,64,64,115605504,115605504,115605504,,,,,,
4,0,128,128,128,57802752,57802752,57802752,,,,,,
5,0,128,128,128,115605504,115605504,115605504,,,,,,
6,0,256,256,256,57802752,57802752,57802752,,,,,,
7,0,256,256,256,115605504,115605504,115605504,,,,,,
1,0.0001,64,64,64,118013952,118013952,118013952,696041472,696041472,696041472,0,0,0
2,0.0001,64,64,64,115605504,115605504,115605504,,,,,,
3,0.0001,64,64,64,115605504,115605504,115605504,,,,,,
4,0.0001,128,128,128,57802752,57802752,57802752,,,,,,
5,0.0001,128,128,128,115605504,115605504,115605504,,,,,,
6,0.0001,256,256,256,57802752,57802752,57802752,,,,,,
7,0.0001,256,256,256,115605504,115605504,115605504,,,,,,
1,0.001,26,26,26,47943168,47943168,47943168,474049716,474049716,474049716,0.318934668306661,0.318934668306661,0.318934668306661
2,0.001,54,54,54,39626496,39626496,39626496,,,,,,
3,0.001,64,64,64,97542144,97542144,97542144,,,,,,
4,0.001,112,112,112,50577408,50577408,50577408,,,,,,
5,0.001,113,113,113,89300736,89300736,89300736,,,,,,
6,0.001,229,229,229,45647028,45647028,45647028,,,,,,
7,0.001,256,256,256,103412736,103412736,103412736,,,,,,
1,0.01,5,5,5,9219840,9219840,9219840,14076132,12567912,11774112,0.979776877432959,0.98194373107699,0.983084180363322
2,0.01,4,4,4,564480,564480,564480,,,,,,
3,0.01,4,4,4,451584,451584,451584,,,,,,
4,0.01,8,8,8,225792,225792,225792,,,,,,
5,0.01,36,17,7,2032128,959616,395136,,,,,,
6,0.01,13,13,13,825552,389844,160524,,,,,,
7,0.01,33,33,33,756756,756756,756756,,,,,,
1,0.1,38,5,4,70070784,9219840,7375872,222986652,10179456,8279040,0.679635968587803,0.985375216262976,0.98810553633218
2,0.1,29,2,2,31102848,282240,225792,,,,,,
3,0.1,32,3,3,26191872,169344,169344,,,,,,
4,0.1,51,4,4,11515392,84672,84672,,,,,,
5,0.1,68,6,6,24470208,169344,169344,,,,,,
6,0.1,177,9,9,21231504,95256,95256,,,,,,
7,0.1,123,10,10,38404044,158760,158760,,,,,,
