Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.20	0	45	50	51	60	64
0	1	-1.20	0	0	0	0	0	0
0	2	-1.20	0	0	0	0	1	0
0	3	-1.20	0	0	0	0	2	0
0	4	-1.20	0	2	0	0	1	0
0	5	-1.20	64	17	14	13	0	0
1	0	-1.20	0	0	0	0	5	64
1	1	-1.20	0	0	0	0	4	0
1	2	-1.20	0	0	0	0	0	0
1	3	-1.20	0	0	0	0	9	0
1	4	-1.20	0	0	0	0	13	0
1	5	-1.20	64	64	64	64	33	0
2	0	-1.20	0	18	54	58	60	64
2	1	-1.20	0	0	0	0	0	0
2	2	-1.20	0	1	0	0	1	0
2	3	-1.20	0	2	3	0	2	0
2	4	-1.20	0	3	0	0	1	0
2	5	-1.20	64	40	7	6	0	0
3	0	-1.20	0	0	0	0	14	64
3	1	-1.20	0	0	0	0	0	0
3	2	-1.20	0	0	0	0	1	0
3	3	-1.20	0	0	0	0	3	0
3	4	-1.20	0	0	0	0	5	0
3	5	-1.20	64	64	64	64	41	0
4	0	-1.20	0	7	18	35	45	64
4	1	-1.20	0	0	0	0	3	0
4	2	-1.20	0	0	0	0	2	0
4	3	-1.20	0	3	0	2	10	0
4	4	-1.20	0	1	3	0	4	0
4	5	-1.20	64	53	43	27	0	0
5	0	-1.20	0	16	16	17	26	64
5	1	-1.20	0	0	0	0	0	0
5	2	-1.20	0	0	0	1	0	0
5	3	-1.20	0	0	0	1	3	0
5	4	-1.20	0	0	0	0	8	0
5	5	-1.20	64	48	48	45	27	0
6	0	-1.20	0	0	12	32	39	64
6	1	-1.20	0	0	0	0	1	0
6	2	-1.20	0	0	2	0	0	0
6	3	-1.20	0	0	1	1	2	0
6	4	-1.20	0	0	6	0	7	0
6	5	-1.20	64	64	43	31	15	0
7	0	-1.20	0	16	22	24	35	64
7	1	-1.20	0	0	0	0	1	0
7	2	-1.20	0	0	0	0	0	0
7	3	-1.20	0	0	0	1	1	0
7	4	-1.20	0	2	0	0	6	0
7	5	-1.20	64	46	42	39	21	0
8	0	-1.20	0	0	0	0	0	64
8	1	-1.20	0	0	0	0	0	0
8	2	-1.20	0	0	0	0	3	0
8	3	-1.20	0	0	0	0	20	0
8	4	-1.20	0	0	0	0	37	0
8	5	-1.20	64	64	64	64	4	0
0	0	-1.40	0	49	51	52	55	64
0	1	-1.40	0	0	0	0	1	0
0	2	-1.40	0	0	0	0	1	0
0	3	-1.40	0	0	1	0	4	0
0	4	-1.40	0	0	0	0	2	0
0	5	-1.40	64	15	12	12	1	0
1	0	-1.40	0	0	0	0	6	64
1	1	-1.40	0	0	0	0	1	0
1	2	-1.40	0	0	0	0	9	0
1	3	-1.40	0	0	0	0	12	0
1	4	-1.40	0	0	0	1	13	0
1	5	-1.40	64	64	64	63	23	0
2	0	-1.40	0	19	55	56	56	64
2	1	-1.40	0	0	0	0	1	0
2	2	-1.40	0	0	0	0	1	0
2	3	-1.40	0	0	0	0	2	0
2	4	-1.40	0	1	0	0	4	0
2	5	-1.40	64	44	9	8	0	0
3	0	-1.40	0	8	8	9	23	64
3	1	-1.40	0	0	0	0	1	0
3	2	-1.40	0	0	0	0	1	0
3	3	-1.40	0	0	0	0	1	0
3	4	-1.40	0	0	0	1	5	0
3	5	-1.40	64	56	56	54	33	0
4	0	-1.40	0	4	15	25	42	64
4	1	-1.40	0	0	0	0	0	0
4	2	-1.40	0	0	2	0	2	0
4	3	-1.40	0	1	1	2	8	0
4	4	-1.40	0	5	0	7	11	0
4	5	-1.40	64	54	46	30	1	0
5	0	-1.40	0	24	24	24	25	64
5	1	-1.40	0	0	0	0	0	0
5	2	-1.40	0	0	0	0	1	0
5	3	-1.40	0	0	0	0	2	0
5	4	-1.40	0	0	0	0	8	0
5	5	-1.40	64	40	40	40	28	0
6	0	-1.40	0	0	7	16	34	64
6	1	-1.40	0	0	0	0	1	0
6	2	-1.40	0	0	0	1	1	0
6	3	-1.40	0	0	4	2	1	0
6	4	-1.40	0	0	0	4	7	0
6	5	-1.40	64	64	53	41	20	0
7	0	-1.40	0	14	24	25	31	64
7	1	-1.40	0	0	0	0	0	0
7	2	-1.40	0	2	0	0	0	0
7	3	-1.40	0	2	0	0	1	0
7	4	-1.40	0	4	0	2	12	0
7	5	-1.40	64	42	40	37	20	0
8	0	-1.40	0	0	0	0	0	64
8	1	-1.40	0	0	0	0	0	0
8	2	-1.40	0	0	0	0	1	0
8	3	-1.40	0	0	0	0	22	0
8	4	-1.40	0	0	0	0	33	0
8	5	-1.40	64	64	64	64	8	0
0	0	-1.60	0	44	44	45	50	64
0	1	-1.60	0	0	0	0	1	0
0	2	-1.60	0	0	0	1	2	0
0	3	-1.60	0	0	1	0	4	0
0	4	-1.60	0	0	0	0	5	0
0	5	-1.60	64	20	19	18	2	0
1	0	-1.60	0	6	6	10	22	64
1	1	-1.60	0	0	0	0	2	0
1	2	-1.60	0	0	0	0	4	0
1	3	-1.60	0	0	1	1	3	0
1	4	-1.60	0	2	2	10	6	0
1	5	-1.60	64	56	55	43	27	0
2	0	-1.60	0	13	51	51	56	64
2	1	-1.60	0	0	0	1	0	0
2	2	-1.60	0	0	0	0	2	0
2	3	-1.60	0	2	0	0	0	0
2	4	-1.60	0	2	0	0	5	0
2	5	-1.60	64	47	13	12	1	0
3	0	-1.60	0	12	12	13	23	64
3	1	-1.60	0	0	0	0	1	0
3	2	-1.60	0	0	0	0	0	0
3	3	-1.60	0	0	0	2	2	0
3	4	-1.60	0	0	0	0	4	0
3	5	-1.60	64	52	52	49	34	0
4	0	-1.60	0	4	8	18	38	64
4	1	-1.60	0	0	0	0	3	0
4	2	-1.60	0	0	0	0	0	0
4	3	-1.60	0	0	0	1	6	0
4	4	-1.60	0	1	4	5	13	0
4	5	-1.60	64	59	52	40	4	0
5	0	-1.60	0	20	20	23	28	64
5	1	-1.60	0	0	0	0	0	0
5	2	-1.60	0	0	0	0	2	0
5	3	-1.60	0	0	0	0	1	0
5	4	-1.60	0	0	0	1	2	0
5	5	-1.60	64	44	44	40	31	0
6	0	-1.60	0	0	4	14	35	64
6	1	-1.60	0	0	0	0	0	0
6	2	-1.60	0	0	0	0	2	0
6	3	-1.60	0	0	1	1	3	0
6	4	-1.60	0	0	4	1	5	0
6	5	-1.60	64	64	55	48	19	0
7	0	-1.60	0	11	18	18	29	64
7	1	-1.60	0	1	0	0	0	0
7	2	-1.60	0	1	0	0	0	0
7	3	-1.60	0	2	0	0	1	0
7	4	-1.60	0	0	0	0	7	0
7	5	-1.60	64	49	46	46	27	0
8	0	-1.60	0	0	0	0	0	64
8	1	-1.60	0	0	0	0	0	0
8	2	-1.60	0	0	0	0	0	0
8	3	-1.60	0	0	0	0	20	0
8	4	-1.60	0	0	0	0	31	0
8	5	-1.60	64	64	64	64	13	0
0	0	-1.80	0	47	47	47	50	64
0	1	-1.80	0	0	0	0	1	0
0	2	-1.80	0	0	0	0	1	0
0	3	-1.80	0	0	0	0	3	0
0	4	-1.80	0	0	0	0	4	0
0	5	-1.80	64	17	17	17	5	0
1	0	-1.80	0	25	25	26	27	63
1	1	-1.80	0	0	0	0	0	0
1	2	-1.80	0	0	0	0	0	0
1	3	-1.80	0	0	0	0	0	1
1	4	-1.80	0	1	1	1	3	0
1	5	-1.80	64	38	38	37	34	0
2	0	-1.80	0	10	47	48	50	64
2	1	-1.80	0	0	0	0	0	0
2	2	-1.80	0	0	0	0	0	0
2	3	-1.80	0	1	0	0	2	0
2	4	-1.80	0	4	0	0	5	0
2	5	-1.80	64	49	17	16	7	0
3	0	-1.80	0	24	24	26	30	64
3	1	-1.80	0	0	0	0	0	0
3	2	-1.80	0	0	0	0	1	0
3	3	-1.80	0	0	0	0	2	0
3	4	-1.80	0	0	0	0	1	0
3	5	-1.80	64	40	40	38	30	0
4	0	-1.80	0	4	9	15	34	64
4	1	-1.80	0	0	0	2	2	0
4	2	-1.80	0	1	0	0	3	0
4	3	-1.80	0	0	0	1	4	0
4	4	-1.80	0	0	1	1	10	0
4	5	-1.80	64	59	54	45	11	0
5	0	-1.80	0	23	23	24	31	64
5	1	-1.80	0	0	0	0	0	0
5	2	-1.80	0	0	0	0	0	0
5	3	-1.80	0	0	0	0	1	0
5	4	-1.80	0	0	0	0	5	0
5	5	-1.80	64	41	41	40	27	0
6	0	-1.80	0	0	2	8	30	64
6	1	-1.80	0	0	0	0	2	0
6	2	-1.80	0	0	0	0	0	0
6	3	-1.80	0	0	1	2	3	0
6	4	-1.80	0	0	2	3	5	0
6	5	-1.80	64	64	59	51	24	0
7	0	-1.80	0	14	18	22	29	64
7	1	-1.80	0	0	0	0	0	0
7	2	-1.80	0	1	0	0	0	0
7	3	-1.80	0	0	0	0	3	0
7	4	-1.80	0	0	0	0	2	0
7	5	-1.80	64	49	46	42	30	0
8	0	-1.80	0	0	0	0	0	64
8	1	-1.80	0	0	0	0	0	0
8	2	-1.80	0	0	0	0	1	0
8	3	-1.80	0	0	0	0	15	0
8	4	-1.80	0	0	0	0	27	0
8	5	-1.80	64	64	64	64	21	0
0	0	-2.00	0	49	49	49	49	64
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	1	0
0	4	-2.00	0	0	0	0	4	0
0	5	-2.00	64	15	15	15	10	0
1	0	-2.00	0	41	41	41	42	60
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	3
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	1
1	5	-2.00	64	23	23	23	22	0
2	0	-2.00	0	17	20	42	50	64
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	2	0	0
2	3	-2.00	0	0	0	1	0	0
2	4	-2.00	0	1	1	3	2	0
2	5	-2.00	64	46	43	16	12	0
3	0	-2.00	0	34	34	35	42	64
3	1	-2.00	0	0	0	1	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	1	0
3	4	-2.00	0	0	0	0	1	0
3	5	-2.00	64	30	30	28	20	0
4	0	-2.00	0	1	11	15	35	64
4	1	-2.00	0	0	0	0	3	0
4	2	-2.00	0	0	0	0	3	0
4	3	-2.00	0	0	0	1	1	0
4	4	-2.00	0	1	0	5	3	0
4	5	-2.00	64	62	53	43	19	0
5	0	-2.00	0	30	30	31	34	64
5	1	-2.00	0	0	0	0	1	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	0	0	0	0	2	0
5	4	-2.00	0	0	1	1	1	0
5	5	-2.00	64	34	33	32	26	0
6	0	-2.00	0	0	0	6	34	64
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	0	0	0	1	0
6	3	-2.00	0	0	0	2	3	0
6	4	-2.00	0	0	0	2	1	0
6	5	-2.00	64	64	64	54	25	0
7	0	-2.00	0	8	17	22	30	64
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	2	0	0
7	3	-2.00	0	0	0	1	0	0
7	4	-2.00	0	0	0	0	1	0
7	5	-2.00	64	56	47	39	33	0
8	0	-2.00	0	0	0	0	0	64
8	1	-2.00	0	0	0	0	0	0
8	2	-2.00	0	0	0	0	0	0
8	3	-2.00	0	0	0	0	13	0
8	4	-2.00	0	0	0	0	32	0
8	5	-2.00	64	64	64	64	19	0
0	0	-0.20	0	55	56	56	64	64
0	1	-0.20	0	0	0	0	0	0
0	2	-0.20	0	0	0	0	0	0
0	3	-0.20	0	0	0	0	0	0
0	4	-0.20	0	1	0	3	0	0
0	5	-0.20	64	8	8	5	0	0
1	0	-0.20	0	0	0	1	1	64
1	1	-0.20	0	0	0	0	0	0
1	2	-0.20	0	0	0	0	0	0
1	3	-0.20	0	0	0	0	1	0
1	4	-0.20	0	0	1	0	11	0
1	5	-0.20	64	64	63	63	51	0
2	0	-0.20	0	23	60	60	64	64
2	1	-0.20	0	0	0	0	0	0
2	2	-0.20	0	0	0	0	0	0
2	3	-0.20	0	2	0	0	0	0
2	4	-0.20	0	2	0	0	0	0
2	5	-0.20	64	37	4	4	0	0
3	0	-0.20	0	0	1	1	18	64
3	1	-0.20	0	0	0	0	0	0
3	2	-0.20	0	0	0	0	1	0
3	3	-0.20	0	0	0	0	3	0
3	4	-0.20	0	1	0	0	9	0
3	5	-0.20	64	63	63	63	33	0
4	0	-0.20	0	0	13	27	47	64
4	1	-0.20	0	1	0	3	6	0
