Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	7	9	9	16	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	1	0	2	0	0
0	5	-1.00	16	8	7	5	0	0
1	0	-1.00	0	25	31	31	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	7	1	1	0	0
2	0	-1.00	0	4	19	28	32	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	1	0	0
2	3	-1.00	0	0	2	1	0	0
2	4	-1.00	0	3	3	2	0	0
2	5	-1.00	32	25	8	0	0	0
3	0	-1.00	0	20	29	29	32	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	2	0	0	0	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	10	3	3	0	0
4	0	-1.00	0	6	23	29	32	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	0	0	0	0	0	0
4	4	-1.00	0	3	1	2	0	0
4	5	-1.00	32	23	8	1	0	0
5	0	-1.00	0	39	48	57	64	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	2	0	0	0
5	3	-1.00	0	1	0	0	0	0
5	4	-1.00	0	3	4	0	0	0
5	5	-1.00	64	21	10	7	0	0
6	0	-1.00	0	2	14	52	64	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	0	0	0	0	0
6	4	-1.00	0	0	6	0	0	0
6	5	-1.00	64	62	44	12	0	0
7	0	-1.00	0	49	53	54	64	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	1	1	1	0	0
7	4	-1.00	0	1	0	0	0	0
7	5	-1.00	64	13	10	9	0	0
8	0	-1.00	0	2	5	23	64	64
8	1	-1.00	0	0	0	1	0	0
8	2	-1.00	0	0	2	2	0	0
8	3	-1.00	0	0	3	2	0	0
8	4	-1.00	0	0	2	15	0	0
8	5	-1.00	64	62	52	21	0	0
0	0	-2.00	0	9	11	12	16	16
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	0	3	0	0
0	5	-2.00	16	7	5	1	0	0
1	0	-2.00	0	28	32	32	32	32
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	1	0	0	0	0
1	4	-2.00	0	1	0	0	0	0
1	5	-2.00	32	2	0	0	0	0
2	0	-2.00	0	0	0	0	2	32
2	1	-2.00	0	0	0	0	4	0
2	2	-2.00	0	0	0	0	9	0
2	3	-2.00	0	0	0	0	8	0
2	4	-2.00	0	0	1	2	6	0
2	5	-2.00	32	32	31	30	3	0
3	0	-2.00	0	29	32	32	32	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	1	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	1	0	0	0	0
3	5	-2.00	32	1	0	0	0	0
4	0	-2.00	0	26	30	32	32	32
4	1	-2.00	0	0	0	0	0	0
4	2	-2.00	0	0	0	0	0	0
4	3	-2.00	0	0	0	0	0	0
4	4	-2.00	0	0	2	0	0	0
4	5	-2.00	32	6	0	0	0	0
5	0	-2.00	0	59	62	62	62	64
