Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	10	10	10	14	16
0	1	-1.00	0	0	0	0	1	0
0	2	-1.00	0	0	0	1	1	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	6	6	5	0	0
1	0	-1.00	0	32	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	32	32	32	32	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	32	0	0	0	0	0
3	0	-1.00	0	31	31	31	32	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	0	0	0	0	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	1	1	1	0	0
4	0	-1.00	0	23	31	31	31	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	2	0	0	0	0
4	3	-1.00	0	1	0	0	1	0
4	4	-1.00	0	3	0	0	0	0
4	5	-1.00	32	3	1	1	0	0
5	0	-1.00	0	60	60	60	63	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	0	0	0	0	0
5	4	-1.00	0	0	0	0	1	0
5	5	-1.00	64	4	4	4	0	0
6	0	-1.00	0	39	60	60	62	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	0	0	0	1	0
6	4	-1.00	0	5	0	0	1	0
6	5	-1.00	64	20	4	4	0	0
7	0	-1.00	0	59	59	59	59	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	1	0
7	3	-1.00	0	0	0	0	2	0
7	4	-1.00	0	0	0	0	2	0
7	5	-1.00	64	5	5	5	0	0
8	0	-1.00	0	7	23	33	64	64
8	1	-1.00	0	0	0	0	0	0
8	2	-1.00	0	0	0	0	0	0
8	3	-1.00	0	1	1	4	0	0
8	4	-1.00	0	2	1	10	0	0
8	5	-1.00	64	54	39	17	0	0
0	0	-2.00	0	8	8	8	8	16
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	1	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	0	0	5	0
0	5	-2.00	16	8	8	8	2	0
1	0	-2.00	0	30	30	30	30	32
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	32	2	2	2	2	0
2	0	-2.00	0	17	29	30	30	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	0
2	3	-2.00	0	3	0	0	1	0
2	4	-2.00	0	5	1	0	1	0
2	5	-2.00	32	7	2	2	0	0
3	0	-2.00	0	30	30	30	30	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	0	0	0	0	0
3	5	-2.00	32	2	2	2	2	0
4	0	-2.00	0	17	29	30	30	32
4	1	-2.00	0	0	0	0	0	0
4	2	-2.00	0	0	0	0	1	0
4	3	-2.00	0	2	0	0	0	0
4	4	-2.00	0	5	0	0	0	0
4	5	-2.00	32	8	3	2	1	0
5	0	-2.00	0	56	56	56	56	64
5	1	-2.00	0	0	0	0	0	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	0	0	0	0	2	0
5	4	-2.00	0	0	0	1	3	0
5	5	-2.00	64	8	8	7	3	0
6	0	-2.00	0	6	44	55	55	64
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	0	0	0	0	0
6	3	-2.00	0	0	0	0	0	0
6	4	-2.00	0	1	9	0	0	0
6	5	-2.00	64	57	11	9	9	0
7	0	-2.00	0	55	55	55	55	64
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	0	0	0
7	3	-2.00	0	0	0	0	0	0
7	4	-2.00	0	0	0	0	0	0
7	5	-2.00	64	9	9	9	9	0
8	0	-2.00	0	4	7	15	57	64
8	1	-2.00	0	0	0	0	3	0
8	2	-2.00	0	0	0	1	2	0
8	3	-2.00	0	0	0	0	2	0
8	4	-2.00	0	0	0	0	0	0
8	5	-2.00	64	60	57	48	0	0
0	0	-3.00	0	8	8	8	8	11
0	1	-3.00	0	0	0	0	0	1
0	2	-3.00	0	0	0	0	0	1
0	3	-3.00	0	0	0	0	0	3
0	4	-3.00	0	0	0	0	0	0
0	5	-3.00	16	8	8	8	8	0
1	0	-3.00	0	24	24	24	24	31
