Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	12	12	12	15	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	1	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	4	4	4	0	0
1	0	-1.00	0	28	32	32	32	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	2	0	0	0	0
1	3	-1.00	0	2	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	0	0	0	0	0
2	0	-1.00	0	10	32	32	32	32
2	1	-1.00	0	1	0	0	0	0
2	2	-1.00	0	5	0	0	0	0
2	3	-1.00	0	8	0	0	0	0
2	4	-1.00	0	7	0	0	0	0
2	5	-1.00	32	1	0	0	0	0
3	0	-1.00	0	12	31	31	31	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	5	0	0	0	0
3	3	-1.00	0	6	0	0	1	0
3	4	-1.00	0	7	0	0	0	0
3	5	-1.00	32	2	1	1	0	0
4	0	-1.00	0	10	31	31	31	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	5	0	0	0	0
4	3	-1.00	0	12	0	0	1	0
4	4	-1.00	0	3	0	0	0	0
4	5	-1.00	32	2	1	1	0	0
5	0	-1.00	0	25	60	60	60	64
5	1	-1.00	0	3	0	0	0	0
5	2	-1.00	0	5	0	0	1	0
5	3	-1.00	0	16	0	0	1	0
5	4	-1.00	0	7	0	0	2	0
5	5	-1.00	64	8	4	4	0	0
6	0	-1.00	0	0	56	56	56	64
6	1	-1.00	0	0	0	0	2	0
6	2	-1.00	0	1	0	0	1	0
6	3	-1.00	0	1	0	0	2	0
6	4	-1.00	0	11	0	0	3	0
6	5	-1.00	64	51	8	8	0	0
7	0	-1.00	0	0	58	58	58	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	10	0	0	0	0
7	4	-1.00	0	38	0	0	6	0
7	5	-1.00	64	16	6	6	0	0
8	0	-1.00	0	0	10	20	62	64
8	1	-1.00	0	0	0	3	2	0
8	2	-1.00	0	0	1	5	0	0
8	3	-1.00	0	0	3	5	0	0
8	4	-1.00	0	3	4	11	0	0
8	5	-1.00	64	61	46	20	0	0
0	0	-2.00	0	10	10	10	10	15
0	1	-2.00	0	0	0	0	0	1
0	2	-2.00	0	0	0	0	1	0
0	3	-2.00	0	0	0	0	0	0
