Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-0.20	0	58	59	64	64	64
0	1	-0.20	0	0	0	0	0	0
0	2	-0.20	0	0	0	0	0	0
0	3	-0.20	0	0	0	0	0	0
0	4	-0.20	0	2	2	0	0	0
0	5	-0.20	64	4	3	0	0	0
1	0	-0.20	0	29	29	31	46	64
1	1	-0.20	0	2	2	1	2	0
1	2	-0.20	0	0	0	2	1	0
1	3	-0.20	0	1	1	1	2	0
1	4	-0.20	0	1	1	0	6	0
1	5	-0.20	64	31	31	29	7	0
2	0	-0.20	0	64	64	64	64	64
2	1	-0.20	0	0	0	0	0	0
2	2	-0.20	0	0	0	0	0	0
2	3	-0.20	0	0	0	0	0	0
2	4	-0.20	0	0	0	0	0	0
2	5	-0.20	64	0	0	0	0	0
3	0	-0.20	0	39	39	40	44	64
3	1	-0.20	0	0	0	0	0	0
3	2	-0.20	0	0	0	0	0	0
3	3	-0.20	0	0	0	2	0	0
3	4	-0.20	0	0	0	0	1	0
3	5	-0.20	64	25	25	22	19	0
4	0	-0.20	0	58	61	61	64	64
4	1	-0.20	0	0	0	0	0	0
4	2	-0.20	0	1	0	0	0	0
4	3	-0.20	0	1	0	1	0	0
4	4	-0.20	0	1	0	1	0	0
4	5	-0.20	64	3	3	1	0	0
5	0	-0.20	0	60	60	60	60	64
5	1	-0.20	0	0	0	0	0	0
5	2	-0.20	0	0	0	0	0	0
5	3	-0.20	0	0	0	0	2	0
5	4	-0.20	0	0	0	0	1	0
5	5	-0.20	64	4	4	4	1	0
6	0	-0.20	0	53	53	53	53	64
6	1	-0.20	0	0	0	0	0	0
6	2	-0.20	0	0	0	0	0	0
6	3	-0.20	0	0	0	0	0	0
6	4	-0.20	0	0	0	0	1	0
6	5	-0.20	64	11	11	11	10	0
7	0	-0.20	0	59	59	59	64	64
7	1	-0.20	0	0	0	0	0	0
7	2	-0.20	0	0	0	0	0	0
7	3	-0.20	0	0	0	0	0	0
7	4	-0.20	0	0	0	1	0	0
7	5	-0.20	64	5	5	4	0	0
8	0	-0.20	0	0	0	0	0	64
8	1	-0.20	0	0	0	0	1	0
8	2	-0.20	0	0	0	0	3	0
8	3	-0.20	0	0	0	0	11	0
8	4	-0.20	0	0	0	0	24	0
8	5	-0.20	64	64	64	64	25	0
0	0	-0.40	0	60	60	64	64	64
0	1	-0.40	0	0	0	0	0	0
0	2	-0.40	0	0	0	0	0	0
0	3	-0.40	0	0	0	0	0	0
0	4	-0.40	0	0	1	0	0	0
0	5	-0.40	64	4	3	0	0	0
1	0	-0.40	0	17	17	18	31	64
1	1	-0.40	0	0	0	0	0	0
1	2	-0.40	0	1	1	0	1	0
1	3	-0.40	0	1	1	3	5	0
1	4	-0.40	0	4	4	6	6	0
1	5	-0.40	64	41	41	37	21	0
2	0	-0.40	0	64	64	64	64	64
2	1	-0.40	0	0	0	0	0	0
2	2	-0.40	0	0	0	0	0	0
2	3	-0.40	0	0	0	0	0	0
2	4	-0.40	0	0	0	0	0	0
2	5	-0.40	64	0	0	0	0	0
3	0	-0.40	0	39	39	42	45	64
3	1	-0.40	0	0	0	0	0	0
3	2	-0.40	0	0	0	0	0	0
3	3	-0.40	0	0	0	0	0	0
3	4	-0.40	0	0	0	0	3	0
3	5	-0.40	64	25	25	22	16	0
4	0	-0.40	0	55	61	61	64	64
4	1	-0.40	0	0	0	0	0	0
4	2	-0.40	0	1	0	0	0	0
