Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	9	9	9	10	16
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	0	0	0	0	0
0	4	-1.00	0	0	0	0	0	0
0	5	-1.00	16	7	7	7	6	0
1	0	-1.00	0	28	30	30	30	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	32	4	2	2	2	0
2	0	-1.00	0	7	29	30	30	32
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	0	0	0	0	0	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	32	25	3	2	2	0
3	0	-1.00	0	11	31	31	31	32
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	0	0	0	0	0	0
3	4	-1.00	0	0	0	0	0	0
3	5	-1.00	32	21	1	1	1	0
4	0	-1.00	0	11	29	31	31	32
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	0	0	0	0	0	0
4	4	-1.00	0	0	0	0	0	0
4	5	-1.00	32	21	3	1	1	0
5	0	-1.00	0	19	58	58	58	64
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	0	0	0	0	0	0
5	4	-1.00	0	0	0	0	0	0
5	5	-1.00	64	45	6	6	6	0
6	0	-1.00	0	0	42	55	55	64
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	0	0	0	0	0	0
6	4	-1.00	0	0	0	0	0	0
6	5	-1.00	64	64	22	9	9	0
7	0	-1.00	0	3	56	56	56	64
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	0	0	0	0	0	0
7	4	-1.00	0	0	0	0	0	0
7	5	-1.00	64	61	8	8	8	0
8	0	-1.00	0	0	8	15	63	64
8	1	-1.00	0	0	0	0	0	0
8	2	-1.00	0	0	0	0	0	0
8	3	-1.00	0	0	0	0	0	0
8	4	-1.00	0	0	0	0	0	0
8	5	-1.00	64	64	56	49	1	0
0	0	-2.00	0	7	7	7	7	16
0	1	-2.00	0	0	0	0	0	0
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	0	0	0	0
0	5	-2.00	16	9	9	9	9	0
1	0	-2.00	0	25	26	26	26	30
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	32	7	6	6	6	2
2	0	-2.00	0	0	19	25	25	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	0
2	3	-2.00	0	0	0	0	0	0
2	4	-2.00	0	0	0	0	0	0
2	5	-2.00	32	32	13	7	7	0
3	0	-2.00	0	11	24	24	24	32
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	0	0	0	0	0	0
3	4	-2.00	0	0	0	0	0	0
3	5	-2.00	32	21	8	8	8	0
4	0	-2.00	0	0	16	23	26	32
4	1	-2.00	0	0	0	0	0	0
4	2	-2.00	0	0	0	0	0	0
4	3	-2.00	0	0	0	0	0	0
4	4	-2.00	0	0	0	0	0	0
4	5	-2.00	32	32	16	9	6	0
5	0	-2.00	0	19	50	50	50	64
5	1	-2.00	0	0	0	0	0	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	0	0	0	0	0	0
5	4	-2.00	0	0	0	0	0	0
5	5	-2.00	64	45	14	14	14	0
6	0	-2.00	0	0	16	54	54	64
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	0	0	0	0	0
6	3	-2.00	0	0	0	0	0	0
6	4	-2.00	0	0	0	0	0	0
6	5	-2.00	64	64	48	10	10	0
7	0	-2.00	0	1	54	54	54	64
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	0	0	0
7	3	-2.00	0	0	0	0	0	0
7	4	-2.00	0	0	0	0	0	0
7	5	-2.00	64	63	10	10	10	0
8	0	-2.00	0	0	3	8	30	64
8	1	-2.00	0	0	0	0	0	0
8	2	-2.00	0	0	0	0	0	0
8	3	-2.00	0	0	0	0	0	0
8	4	-2.00	0	0	0	0	0	0
8	5	-2.00	64	64	61	56	34	0
0	0	-3.00	0	2	2	2	2	5
0	1	-3.00	0	0	0	0	0	0
0	2	-3.00	0	0	0	0	0	0
0	3	-3.00	0	0	0	0	0	0
0	4	-3.00	0	0	0	0	0	0
0	5	-3.00	16	14	14	14	14	11
1	0	-3.00	0	15	16	16	17	19
1	1	-3.00	0	0	0	0	0	0
1	2	-3.00	0	0	0	0	0	0
1	3	-3.00	0	0	0	0	0	0
1	4	-3.00	0	0	0	0	0	0
1	5	-3.00	32	17	16	16	15	13
2	0	-3.00	0	0	5	12	12	14
2	1	-3.00	0	0	0	0	0	0
2	2	-3.00	0	0	0	0	0	0
2	3	-3.00	0	0	0	0	0	0
2	4	-3.00	0	0	0	0	0	0
2	5	-3.00	32	32	27	20	20	18
3	0	-3.00	0	13	19	19	19	21
3	1	-3.00	0	0	0	0	0	0
3	2	-3.00	0	0	0	0	0	0
3	3	-3.00	0	0	0	0	0	0
3	4	-3.00	0	0	0	0	0	0
3	5	-3.00	32	19	13	13	13	11
4	0	-3.00	0	0	10	19	20	22
4	1	-3.00	0	0	0	0	0	0
4	2	-3.00	0	0	0	0	0	0
4	3	-3.00	0	0	0	0	0	0
4	4	-3.00	0	0	0	0	0	0
4	5	-3.00	32	32	22	13	12	10
5	0	-3.00	0	14	44	44	45	47
5	1	-3.00	0	0	0	0	0	0
5	2	-3.00	0	0	0	0	0	0
5	3	-3.00	0	0	0	0	0	0
5	4	-3.00	0	0	0	0	0	0
5	5	-3.00	64	50	20	20	19	17
6	0	-3.00	0	0	23	48	48	50
6	1	-3.00	0	0	0	0	0	0
6	2	-3.00	0	0	0	0	0	0
6	3	-3.00	0	0	0	0	0	0
6	4	-3.00	0	0	0	0	0	0
6	5	-3.00	64	64	41	16	16	14
7	0	-3.00	0	7	49	49	49	56
7	1	-3.00	0	0	0	0	0	0
7	2	-3.00	0	0	0	0	0	0
7	3	-3.00	0	0	0	0	0	0
7	4	-3.00	0	0	0	0	0	0
7	5	-3.00	64	57	15	15	15	8
8	0	-3.00	0	0	0	7	9	64
8	1	-3.00	0	0	0	0	0	0
8	2	-3.00	0	0	0	0	0	0
8	3	-3.00	0	0	0	0	0	0
8	4	-3.00	0	0	0	0	0	0
8	5	-3.00	64	64	64	57	55	0
0	0	-4.00	0	0	0	0	0	0
0	1	-4.00	0	0	0	0	0	0
0	2	-4.00	0	0	0	0	0	0
0	3	-4.00	0	0	0	0	0	0
0	4	-4.00	0	0	0	0	0	0
0	5	-4.00	16	16	16	16	16	16
1	0	-4.00	0	0	0	0	0	0
1	1	-4.00	0	0	0	0	0	0
1	2	-4.00	0	0	0	0	0	0
1	3	-4.00	0	0	0	0	0	0
1	4	-4.00	0	0	0	0	0	0
1	5	-4.00	32	32	32	32	32	32
2	0	-4.00	0	0	0	0	0	0
2	1	-4.00	0	0	0	0	0	0
2	2	-4.00	0	0	0	0	0	0
2	3	-4.00	0	0	0	0	0	0
2	4	-4.00	0	0	0	0	0	0
2	5	-4.00	32	32	32	32	32	32
3	0	-4.00	0	0	0	0	0	0
3	1	-4.00	0	0	0	0	0	0
3	2	-4.00	0	0	0	0	0	0
3	3	-4.00	0	0	0	0	0	0
3	4	-4.00	0	0	0	0	0	0
3	5	-4.00	32	32	32	32	32	32
4	0	-4.00	0	0	0	1	1	1
4	1	-4.00	0	0	0	0	0	0
