Layer_num	sz	alpha	tau_0	tau_e-5	tau_e-4	tau_e-3	tau_e-2	tau_e-1
0	0	-1.00	0	1	1	2	13	16
0	1	-1.00	0	0	0	0	1	0
0	2	-1.00	0	0	0	0	1	0
0	3	-1.00	16	15	15	14	1	0
1	0	-1.00	0	16	16	16	16	16
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	16	0	0	0	0	0
2	0	-1.00	0	16	16	16	16	16
2	1	-1.00	0	0	0	0	0	0
2	2	-1.00	0	0	0	0	0	0
2	3	-1.00	16	0	0	0	0	0
3	0	-1.00	0	16	16	16	16	16
3	1	-1.00	0	0	0	0	0	0
3	2	-1.00	0	0	0	0	0	0
3	3	-1.00	16	0	0	0	0	0
4	0	-1.00	0	16	16	16	16	16
4	1	-1.00	0	0	0	0	0	0
4	2	-1.00	0	0	0	0	0	0
4	3	-1.00	16	0	0	0	0	0
5	0	-1.00	0	16	16	16	16	16
5	1	-1.00	0	0	0	0	0	0
5	2	-1.00	0	0	0	0	0	0
5	3	-1.00	16	0	0	0	0	0
6	0	-1.00	0	16	16	16	16	16
6	1	-1.00	0	0	0	0	0	0
6	2	-1.00	0	0	0	0	0	0
6	3	-1.00	16	0	0	0	0	0
7	0	-1.00	0	31	31	31	32	32
7	1	-1.00	0	0	0	0	0	0
7	2	-1.00	0	0	0	0	0	0
7	3	-1.00	32	1	1	1	0	0
8	0	-1.00	0	20	29	31	31	32
8	1	-1.00	0	0	0	0	1	0
8	2	-1.00	0	5	2	0	0	0
8	3	-1.00	32	7	1	1	0	0
9	0	-1.00	0	31	31	31	31	32
9	1	-1.00	0	0	0	0	0	0
9	2	-1.00	0	0	0	0	1	0
9	3	-1.00	32	1	1	1	0	0
10	0	-1.00	0	13	28	29	31	32
10	1	-1.00	0	3	0	0	1	0
10	2	-1.00	0	1	0	0	0	0
10	3	-1.00	32	15	4	3	0	0
11	0	-1.00	0	32	32	32	32	32
11	1	-1.00	0	0	0	0	0	0
11	2	-1.00	0	0	0	0	0	0
11	3	-1.00	32	0	0	0	0	0
12	0	-1.00	0	32	32	32	32	32
12	1	-1.00	0	0	0	0	0	0
12	2	-1.00	0	0	0	0	0	0
12	3	-1.00	32	0	0	0	0	0
13	0	-1.00	0	64	64	64	64	64
13	1	-1.00	0	0	0	0	0	0
13	2	-1.00	0	0	0	0	0	0
13	3	-1.00	64	0	0	0	0	0
14	0	-1.00	0	64	64	64	64	64
14	1	-1.00	0	0	0	0	0	0
14	2	-1.00	0	0	0	0	0	0
14	3	-1.00	64	0	0	0	0	0
15	0	-1.00	0	60	60	60	60	64
15	1	-1.00	0	0	0	0	0	0
15	2	-1.00	0	0	0	0	0	0
15	3	-1.00	64	4	4	4	4	0
16	0	-1.00	0	35	50	54	58	64
16	1	-1.00	0	0	0	0	0	0
16	2	-1.00	0	0	2	1	5	0
16	3	-1.00	64	29	12	9	1	0
17	0	-1.00	0	62	62	62	62	64
17	1	-1.00	0	0	0	0	0	0
17	2	-1.00	0	0	0	0	0	0
17	3	-1.00	64	2	2	2	2	0
18	0	-1.00	0	45	50	55	59	64
18	1	-1.00	0	0	1	2	2	0
18	2	-1.00	0	1	3	1	2	0
18	3	-1.00	64	18	10	6	1	0
0	0	-2.00	0	2	2	2	4	15
0	1	-2.00	0	0	0	0	2	0
0	2	-2.00	0	0	0	0	0	1
0	3	-2.00	16	14	14	14	10	0
1	0	-2.00	0	12	12	12	12	16
1	1	-2.00	0	0	0	0	0	0
1	2	-2.00	0	0	0	0	0	0
1	3	-2.00	16	4	4	4	4	0
2	0	-2.00	0	0	5	10	10	16
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	1	0	1	0
2	3	-2.00	16	16	10	6	5	0
3	0	-2.00	0	14	14	14	14	16
3	1	-2.00	0	0	0	0	0	0
3	2	-2.00	0	0	0	0	0	0
3	3	-2.00	16	2	2	2	2	0
4	0	-2.00	0	0	9	12	13	16
4	1	-2.00	0	0	0	0	1	0
4	2	-2.00	0	1	0	1	2	0
4	3	-2.00	16	15	7	3	0	0
5	0	-2.00	0	14	14	14	14	16
5	1	-2.00	0	0	0	0	0	0
5	2	-2.00	0	0	0	0	0	0
5	3	-2.00	16	2	2	2	2	0
6	0	-2.00	0	0	7	13	15	16
6	1	-2.00	0	0	0	0	0	0
6	2	-2.00	0	0	2	1	0	0
6	3	-2.00	16	16	7	2	1	0
7	0	-2.00	0	19	19	19	19	32
7	1	-2.00	0	0	0	0	0	0
7	2	-2.00	0	0	0	0	0	0
7	3	-2.00	32	13	13	13	13	0
8	0	-2.00	0	0	9	15	17	32
8	1	-2.00	0	0	0	0	0	0
8	2	-2.00	0	0	0	0	0	0
8	3	-2.00	32	32	23	17	15	0
9	0	-2.00	0	21	21	21	21	32
9	1	-2.00	0	0	0	0	0	0
9	2	-2.00	0	0	0	0	0	0
9	3	-2.00	32	11	11	11	11	0
10	0	-2.00	0	1	14	17	17	32
10	1	-2.00	0	0	0	0	0	0
10	2	-2.00	0	0	0	0	0	0
10	3	-2.00	32	31	18	15	15	0
11	0	-2.00	0	32	32	32	32	32
11	1	-2.00	0	0	0	0	0	0
11	2	-2.00	0	0	0	0	0	0
11	3	-2.00	32	0	0	0	0	0
12	0	-2.00	0	32	32	32	32	32
12	1	-2.00	0	0	0	0	0	0
12	2	-2.00	0	0	0	0	0	0
12	3	-2.00	32	0	0	0	0	0
13	0	-2.00	0	52	52	52	52	64
13	1	-2.00	0	0	0	0	0	0
13	2	-2.00	0	0	0	0	0	0
13	3	-2.00	64	12	12	12	12	0
14	0	-2.00	0	0	8	16	26	64
14	1	-2.00	0	0	0	0	0	0
14	2	-2.00	0	0	0	2	4	0
14	3	-2.00	64	64	56	46	34	0
15	0	-2.00	0	63	63	63	63	64
15	1	-2.00	0	0	0	0	0	0
15	2	-2.00	0	0	0	0	0	0
15	3	-2.00	64	1	1	1	1	0
16	0	-2.00	0	12	37	54	62	64
16	1	-2.00	0	0	6	1	1	0
16	2	-2.00	0	3	6	2	0	0
16	3	-2.00	64	49	15	7	1	0
17	0	-2.00	0	64	64	64	64	64
17	1	-2.00	0	0	0	0	0	0
17	2	-2.00	0	0	0	0	0	0
17	3	-2.00	64	0	0	0	0	0
18	0	-2.00	0	64	64	64	64	64
18	1	-2.00	0	0	0	0	0	0
18	2	-2.00	0	0	0	0	0	0
18	3	-2.00	64	0	0	0	0	0
0	0	-3.00	0	1	1	1	1	3
0	1	-3.00	0	0	0	0	1	0
0	2	-3.00	0	0	0	0	0	3
0	3	-3.00	16	15	15	15	14	10
1	0	-3.00	0	0	0	0	0	3
1	1	-3.00	0	0	0	0	0	2
1	2	-3.00	0	0	0	0	0	3
1	3	-3.00	16	16	16	16	16	8
2	0	-3.00	0	0	0	0	0	3
2	1	-3.00	0	0	0	0	0	0
2	2	-3.00	0	0	0	0	0	4
2	3	-3.00	16	16	16	16	16	9
3	0	-3.00	0	3	3	3	3	9
3	1	-3.00	0	0	0	0	0	0
3	2	-3.00	0	0	0	0	0	4
3	3	-3.00	16	13	13	13	13	3
4	0	-3.00	0	0	0	0	0	7
4	1	-3.00	0	0	0	0	0	2
4	2	-3.00	0	0	0	0	0	5
