Layer_num	sz	alpha	tau_e-0	tau_e-1	tau_e-2	tau_e-3	tau_e-4	tau_e-5
0	0	-1.00	0	26	27	27	28	32
0	1	-1.00	0	0	0	0	0	0
0	2	-1.00	0	0	0	0	0	0
0	3	-1.00	0	1	0	0	0	0
0	4	-1.00	0	0	0	0	1	0
0	5	-1.00	0	0	0	0	0	0
0	6	-1.00	0	0	0	0	0	0
0	7	-1.00	0	0	0	0	1	0
0	8	-1.00	0	0	0	0	1	0
0	9	-1.00	0	0	0	0	1	0
0	10	-1.00	32	5	5	5	0	0
1	0	-1.00	0	0	26	26	26	32
1	1	-1.00	0	0	0	0	0	0
1	2	-1.00	0	0	0	0	0	0
1	3	-1.00	0	0	0	0	0	0
1	4	-1.00	0	0	0	0	0	0
1	5	-1.00	0	0	0	0	1	0
1	6	-1.00	0	0	0	0	0	0
1	7	-1.00	0	0	0	0	2	0
1	8	-1.00	0	3	0	0	1	0
1	9	-1.00	0	13	0	0	2	0
1	10	-1.00	32	16	6	6	0	0
2	0	-1.00	0	0	6	7	25	32
2	1	-1.00	0	0	0	2	4	0
2	2	-1.00	0	0	0	0	2	0
2	3	-1.00	0	0	0	1	1	0
2	4	-1.00	0	0	0	0	0	0
2	5	-1.00	0	0	0	1	0	0
2	6	-1.00	0	0	0	1	0	0
2	7	-1.00	0	0	1	1	0	0
2	8	-1.00	0	1	0	2	0	0
2	9	-1.00	0	3	0	6	0	0
2	10	-1.00	32	28	25	11	0	0
0	0	-2.00	0	0	23	23	24	31
0	1	-2.00	0	0	0	0	0	1
0	2	-2.00	0	0	0	0	0	0
0	3	-2.00	0	0	0	0	0	0
0	4	-2.00	0	0	1	1	0	0
0	5	-2.00	0	1	0	0	0	0
0	6	-2.00	0	1	0	0	1	0
0	7	-2.00	0	0	0	0	0	0
0	8	-2.00	0	1	0	0	0	0
0	9	-2.00	0	3	0	0	1	0
0	10	-2.00	32	26	8	8	6	0
1	0	-2.00	0	0	0	24	24	30
1	1	-2.00	0	0	0	0	0	1
1	2	-2.00	0	0	0	0	0	1
1	3	-2.00	0	0	0	0	0	0
1	4	-2.00	0	0	0	0	0	0
1	5	-2.00	0	0	0	0	0	0
1	6	-2.00	0	0	0	0	0	0
1	7	-2.00	0	0	2	0	0	0
1	8	-2.00	0	0	1	0	0	0
1	9	-2.00	0	0	12	0	0	0
1	10	-2.00	32	32	17	8	8	0
2	0	-2.00	0	0	0	5	8	32
2	1	-2.00	0	0	0	0	0	0
2	2	-2.00	0	0	0	0	0	0
2	3	-2.00	0	0	0	0	0	0
2	4	-2.00	0	0	0	0	1	0
2	5	-2.00	0	0	0	0	1	0
